time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,1,2.0,824783.0,0.7,4.3,0,-4.0
0.8,4,1.0,518520.0,0.7,4.3,0,-4.0
1.4,6,2.0,523800.0,0.7,4.3,0,-4.0
4.4,3,1.0,2090286.0,1.0,4.7,18,-22.0
12.5,2,2.0,1307308.0,1.0,4.7,23,-26.0
13.4,5,2.0,720229.0,1.3,4.7,23,-26.0
13.8,9,1.0,5214581.0,1.3,4.7,23,-26.0
14.0,9,1.0,2399405.0,1.3,4.7,23,-26.0
14.5,9,1.0,2399405.0,1.3,4.7,23,-26.0
15.0,5,1.0,653740.0,1.3,4.7,23,-26.0
15.5,7,2.0,734925.0,6.3,9.4,23,-26.0
19.2,9,2.0,2184716.0,6.3,9.4,23,-26.0
19.8,8,1.0,927012.0,7.0,13.7,23,-30.0
21.9,10,2.0,572968.0,7.0,13.7,23,-30.0
22.5,10,1.0,1425342.0,8.5,14.5,23,-29.0
26.6,11,1.0,3215285.0,8.5,14.5,23,-29.0
28.4,11,1.0,874426.0,10.0,14.5,23,-27.0
32.1,12,2.0,1425277.0,10.7,15.3,23,-28.0
35.1,13,1.0,3728279.0,10.7,15.3,23,-28.0
35.3,12,2.0,960344.0,10.7,15.3,23,-28.0
35.9,12,1.0,2825873.0,11.4,15.3,23,-27.0
40.0,13,1.0,3338937.0,12.9,16.1,23,-26.0
43.6,11,1.0,5352692.0,12.9,16.1,23,-26.0
44.7,14,1.0,1949262.0,14.4,16.1,23,-25.0
47.3,15,1.0,3475800.0,14.4,16.1,23,-25.0
47.4,15,2.0,2246769.0,15.9,16.1,23,-23.0
49.9,16,1.0,1965907.0,15.9,16.1,23,-23.0
51.5,17,2.0,1952699.0,18.9,17.6,23,-22.0
56.5,18,2.0,1322352.0,18.9,17.6,23,-22.0
56.8,18,1.0,2965413.0,21.9,17.6,23,-19.0
60.8,19,1.0,2949213.0,29.9,19.6,23,-13.0
65.6,20,2.0,1572980.0,29.9,19.6,23,-13.0
66.4,20,1.0,1813835.0,34.9,19.6,23,-8.0
73.1,21,1.0,6267523.0,34.9,19.6,23,-8.0
73.3,21,2.0,1375503.0,38.9,20.6,23,-5.0
73.9,24,1.0,909336.0,38.9,20.6,23,-5.0
77.1,20,2.0,1058259.0,42.9,20.6,23,-1.0
80.7,22,1.0,1567583.0,50.9,20.6,23,7.0
86.0,26,1.0,1966171.0,50.9,20.6,23,7.0
88.6,26,2.0,1023807.0,54.9,20.6,23,11.0
89.9,23,1.0,1830348.0,54.9,20.6,23,11.0
92.4,27,1.0,2172550.0,59.9,21.6,23,15.0
95.6,28,1.0,2310605.0,59.9,21.6,23,15.0
96.0,25,2.0,1242737.0,64.9,21.6,23,20.0
100.8,29,1.0,3394836.0,69.9,21.6,23,25.0
103.8,30,2.0,1717876.0,69.9,21.6,23,25.0
105.4,30,1.0,2364626.0,78.9,22.6,23,33.0
111.1,32,1.0,2774972.0,78.9,22.6,23,33.0
111.8,32,2.0,1453660.0,82.9,22.6,23,37.0
115.2,33,1.0,2588686.0,86.9,22.6,23,41.0
119.4,34,2.0,1558182.0,86.9,22.6,23,41.0
120.3,31,1.0,2944114.0,90.9,22.6,23,45.0
124.1,35,1.0,4686872.0,94.9,22.6,23,49.0
127.2,36,1.0,1382689.0,94.9,22.6,23,49.0
128.2,36,2.0,2191116.0,99.9,23.6,23,53.0
133.0,37,2.0,1112638.0,103.9,24.6,23,56.0
134.9,37,1.0,5284236.0,103.9,24.6,23,56.0
137.0,37,1.0,3330486.0,107.9,24.6,23,60.0
140.3,38,1.0,2372732.0,111.9,24.6,23,64.0
142.9,38,2.0,2502479.0,115.9,24.6,23,68.0
145.6,40,1.0,1713868.0,115.9,24.6,23,68.0
148.0,41,2.0,1508034.0,119.9,24.6,23,72.0
153.3,39,1.0,5474211.0,123.9,24.6,23,76.0
154.0,42,2.0,1075074.0,123.9,24.6,23,76.0
154.4,43,1.0,2227511.0,128.9,25.6,23,80.0
157.6,44,1.0,2444286.0,133.9,25.6,23,85.0
161.7,45,2.0,1564697.0,133.9,25.6,23,85.0
162.7,45,1.0,1728545.0,142.9,26.6,23,93.0
171.0,46,2.0,1341371.0,142.9,26.6,23,93.0
171.1,47,1.0,2872371.0,146.9,26.6,23,97.0
173.7,48,1.0,5086307.0,146.9,26.6,23,97.0
176.5,48,1.0,1790999.0,154.9,26.6,23,105.0
183.4,48,2.0,1305533.0,154.9,26.6,23,105.0
184.3,48,1.0,2674315.0,163.9,27.6,23,113.0
190.5,52,1.0,3248983.0,167.9,28.6,23,116.0
194.9,49,1.0,2488631.0,167.9,28.6,23,116.0
196.0,53,2.0,2171274.0,172.9,29.6,23,120.0
198.9,50,1.0,3698762.0,172.9,29.6,23,120.0
200.1,51,1.0,4206516.0,177.9,29.6,23,125.0
201.9,54,2.0,1687993.0,177.9,29.6,23,125.0
202.3,55,1.0,6350419.0,177.9,29.6,23,125.0
203.4,51,1.0,2186702.0,179.4,33.1,23,123.0
207.6,56,1.0,2999460.0,179.4,33.1,23,123.0
208.3,52,2.0,2138903.0,184.4,36.6,23,125.0
212.2,56,1.0,2650396.0,188.4,37.6,23,128.0
215.6,56,1.0,5020965.0,188.4,37.6,23,128.0
216.1,56,2.0,1651818.0,192.4,38.6,23,131.0
217.5,59,1.0,2271597.0,192.4,38.6,23,131.0
220.9,59,1.0,3644946.0,196.4,38.6,23,135.0
221.6,57,2.0,2390273.0,196.4,38.6,23,135.0
223.0,57,1.0,4686080.0,196.4,38.6,23,135.0
225.2,57,1.0,1915540.0,200.4,38.6,23,139.0
225.9,57,2.0,1834685.0,200.4,38.6,23,139.0
226.4,59,2.0,746356.0,200.4,38.6,23,139.0
227.9,57,2.0,693697.0,200.4,38.6,23,139.0
229.3,57,2.0,2671558.0,203.4,39.6,23,141.0
230.5,57,1.0,2272932.0,203.4,39.6,23,141.0
232.5,58,1.0,2130847.0,209.2,44.3,23,142.0
