,time,down_id,quality,buffer,path:
0,0.0,6,1,0,2.0
1,2.8,3,2,4,2.0
2,5.2,5,2,4,1.0
3,10.0,4,0,12,2.0
4,12.7,5,6,16,2.0
5,18.5,5,5,20,1.0
6,25.8,7,4,20,2.0
7,39.5,1,4,20,1.0
8,43.9,8,3,24,2.0
9,49.5,6,4,28,1.0
10,51.2,2,3,28,2.0
11,62.6,5,4,28,1.0
12,63.9,7,6,32,2.0
13,70.5,11,0,24,1.0
14,72.0,5,1,24,1.0
15,74.2,10,1,24,1.0
16,77.4,6,4,24,1.0
17,89.6,9,0,12,1.0
18,92.0,12,4,16,1.0
19,105.5,19,0,4,2.0
20,106.2,14,0,8,2.0
21,106.7,14,2,12,2.0
22,107.0,16,6,16,1.0
23,107.8,20,6,12,2.0
24,111.6,17,6,16,2.0
25,114.1,16,2,20,2.0
26,115.8,14,0,24,2.0
27,116.3,17,1,24,2.0
28,117.7,20,6,24,2.0
29,130.6,17,1,24,1.0
30,138.6,19,4,24,2.0
31,140.2,14,1,24,1.0
32,142.6,14,3,24,2.0
33,143.0,15,1,24,1.0
34,143.5,16,6,24,2.0
35,147.1,17,4,28,1.0
36,147.2,18,2,28,2.0
37,148.4,16,2,32,2.0
38,149.5,20,5,32,2.0
39,152.8,15,6,32,2.0
40,154.9,13,4,32,1.0
41,155.1,14,5,32,2.0
42,156.8,17,5,32,2.0
43,158.9,16,3,28,1.0
44,160.3,17,4,32,1.0
45,160.5,15,3,32,2.0
46,161.7,14,3,32,2.0
47,162.0,21,5,32,1.0
48,162.5,20,2,32,2.0
49,162.9,18,4,32,1.0
50,163.9,15,1,32,2.0
51,164.6,22,6,32,2.0
52,165.5,19,2,32,1.0
53,167.5,20,4,28,1.0
54,168.0,23,1,32,2.0
55,170.9,22,5,28,2.0
56,173.6,19,2,32,2.0
57,175.0,25,1,28,2.0
58,175.7,23,3,32,2.0
59,175.8,23,5,32,1.0
60,176.5,22,2,32,2.0
61,177.5,20,4,32,2.0
62,180.6,25,3,28,2.0
63,182.2,21,1,28,2.0
64,182.7,22,4,28,2.0
65,184.9,26,6,24,2.0
66,186.9,27,2,24,2.0
67,188.0,28,3,28,2.0
68,188.2,23,4,28,1.0
69,189.5,23,2,28,1.0
70,190.2,22,3,28,1.0
71,190.3,22,2,32,2.0
72,191.1,29,2,28,1.0
73,191.4,28,2,28,2.0
74,192.3,29,5,32,1.0
75,193.3,24,3,32,2.0
76,194.9,28,1,28,2.0
77,196.0,27,2,32,1.0
78,196.0,26,5,32,2.0
79,196.7,23,0,32,1.0
80,196.9,24,0,32,1.0
81,197.1,24,4,32,1.0
82,198.3,24,2,32,1.0
83,198.7,25,1,32,2.0
84,198.9,25,0,32,1.0
85,199.1,25,3,28,1.0
86,199.5,26,6,28,2.0
87,199.9,28,4,28,1.0
88,201.9,30,5,28,2.0
89,202.3,31,5,28,1.0
90,204.4,29,6,28,1.0
91,208.4,32,1,28,2.0
92,209.2,31,1,28,1.0
93,209.3,29,5,32,2.0
94,209.9,30,2,32,1.0
95,211.1,28,2,28,1.0
96,212.1,27,5,28,2.0
97,212.1,29,4,28,1.0
98,214.3,30,5,28,2.0
99,214.6,28,4,28,1.0
100,218.1,33,1,24,1.0
101,218.9,36,4,24,1.0
102,219.2,35,4,24,2.0
103,221.6,35,6,28,1.0
104,223.1,30,2,28,2.0
105,224.7,36,3,28,2.0
106,225.1,31,0,28,1.0
107,225.4,37,6,28,1.0
108,226.3,32,3,28,2.0
109,227.7,32,6,24,2.0
110,228.0,33,0,28,1.0
111,228.3,35,3,28,1.0
112,229.6,35,5,28,1.0
113,229.9,34,1,28,2.0
114,230.3,35,4,32,2.0
115,231.4,39,2,28,2.0
116,231.7,39,1,32,2.0
117,231.9,35,6,32,2.0
118,233.2,38,1,32,2.0
119,233.3,34,2,32,1.0
120,234.9,40,4,28,1.0
121,234.9,39,3,28,2.0
122,235.2,34,2,32,2.0
123,235.7,34,2,32,2.0
124,236.1,39,3,32,2.0
125,236.6,36,2,32,2.0
126,238.9,35,4,28,2.0
127,238.9,36,1,28,1.0
128,239.6,37,5,32,1.0
129,240.0,35,2,32,2.0
130,240.5,40,0,32,2.0
131,240.7,35,5,32,2.0
132,241.7,35,0,32,2.0
133,241.9,39,3,32,2.0
134,242.3,35,6,32,2.0
135,242.7,37,0,32,1.0
136,243.2,35,1,28,1.0
137,243.3,41,1,28,2.0
138,243.6,35,4,32,2.0
139,244.2,37,1,32,1.0
140,244.6,41,1,32,2.0
141,244.9,37,2,32,1.0
142,245.0,36,6,32,2.0
143,245.7,42,2,32,2.0
144,246.9,39,6,28,2.0
145,246.9,40,4,28,1.0
146,247.4,42,3,32,2.0
147,247.8,38,4,32,2.0
148,248.5,41,2,32,2.0
149,248.9,36,4,32,2.0
150,249.3,42,3,32,1.0
151,249.6,43,3,32,2.0
152,250.9,39,6,28,2.0
153,250.9,40,3,28,1.0
154,251.4,40,5,32,2.0
155,252.1,40,6,32,1.0
156,252.2,38,3,32,2.0
157,252.7,38,4,32,2.0
158,253.4,38,5,32,2.0
159,254.3,44,3,32,2.0
160,254.9,41,1,28,2.0
161,255.1,42,2,32,2.0
162,255.5,39,4,32,2.0
163,256.0,45,3,32,2.0
164,258.9,42,4,28,1.0
165,258.9,44,0,28,2.0
166,259.1,45,2,32,2.0
167,259.6,42,3,32,2.0
168,259.7,40,2,32,1.0
169,260.1,40,5,32,2.0
170,260.2,43,5,32,1.0
171,261.3,41,0,32,2.0
172,261.3,45,4,32,1.0
173,261.5,44,1,32,2.0
174,261.9,39,2,32,2.0
175,262.4,39,2,32,2.0
176,262.9,42,6,28,2.0
177,263.9,47,6,28,2.0
178,264.2,44,6,28,1.0
179,264.8,45,6,32,2.0
180,266.9,46,0,28,2.0
181,267.1,46,3,32,2.0
182,267.9,48,1,32,2.0
183,268.2,46,3,32,1.0
184,270.9,47,4,28,1.0
185,270.9,49,4,28,2.0
186,274.9,44,1,28,1.0
187,274.9,43,6,28,2.0
188,275.5,49,0,32,2.0
189,275.6,48,5,32,1.0
190,275.7,49,0,32,2.0
191,275.9,46,1,32,2.0
192,276.1,45,0,32,2.0
193,276.4,43,2,32,2.0
194,276.7,47,6,32,2.0
195,277.3,47,5,32,2.0
196,277.9,47,5,32,2.0
197,278.4,44,3,32,1.0
198,278.5,45,1,32,2.0
199,278.8,43,0,32,2.0
200,279.0,44,5,28,2.0
201,279.3,46,1,28,1.0
202,279.7,45,4,28,1.0
203,279.9,49,6,28,2.0
204,280.7,44,3,28,2.0
205,280.7,50,6,28,1.0
206,281.1,47,1,28,2.0
207,281.3,45,2,32,1.0
208,281.4,49,3,32,2.0
209,281.5,49,2,32,1.0
210,281.7,49,2,32,1.0
211,281.8,51,5,32,2.0
212,281.9,50,0,32,1.0
213,282.0,51,4,32,1.0
214,282.9,46,5,28,2.0
215,282.9,52,1,28,1.0
216,286.9,50,2,28,1.0
217,286.9,46,2,28,2.0
218,287.3,53,1,32,1.0
219,287.4,46,5,32,2.0
220,290.9,50,5,28,2.0
221,290.9,51,6,28,1.0
222,291.4,52,5,32,1.0
223,291.8,53,3,32,2.0
224,292.0,49,4,32,1.0
225,292.5,52,5,32,1.0
226,292.5,48,6,32,2.0
