,time,down_id,quality,buffer,path:
0,0.0,3,4,0,2.0
1,5.2,2,1,0,1.0
2,18.0,6,2,8,2.0
3,18.4,3,2,12,1.0
4,25.4,8,2,16,2.0
5,31.9,2,4,20,2.0
6,35.2,6,5,20,1.0
7,48.8,6,4,20,2.0
8,50.5,8,6,20,1.0
9,70.8,6,4,20,2.0
10,72.3,2,6,20,1.0
11,95.0,6,0,20,1.0
12,96.0,8,5,20,1.0
13,103.6,1,6,20,2.0
14,110.9,7,6,24,2.0
15,116.7,10,2,20,2.0
16,117.5,8,2,20,1.0
17,119.7,8,6,20,2.0
18,123.0,5,2,20,1.0
19,129.4,8,5,24,1.0
20,141.2,5,4,24,2.0
21,143.2,10,3,24,2.0
22,145.0,5,0,24,2.0
23,145.4,5,5,24,2.0
24,147.4,5,1,24,2.0
25,147.9,6,1,24,2.0
26,148.7,5,6,24,2.0
27,150.9,10,4,24,2.0
28,153.8,11,2,24,2.0
29,154.9,8,4,24,1.0
30,155.1,4,4,28,2.0
31,157.7,9,4,32,2.0
32,158.5,11,6,28,1.0
33,161.6,9,4,32,2.0
34,162.0,12,2,28,1.0
35,162.8,12,4,32,1.0
36,165.0,7,1,32,2.0
37,165.9,8,2,28,1.0
38,166.2,8,6,28,2.0
39,167.9,7,1,28,1.0
40,169.1,11,6,28,1.0
41,172.8,11,4,24,2.0
42,176.0,14,1,20,2.0
43,176.5,13,1,24,2.0
44,177.4,10,1,28,2.0
45,178.3,14,0,24,2.0
46,178.7,13,6,24,2.0
47,184.9,13,3,20,2.0
48,186.5,19,4,16,2.0
49,189.6,12,3,16,1.0
50,190.5,15,0,16,2.0
51,191.0,17,4,20,2.0
52,191.0,13,3,20,1.0
53,192.6,14,3,20,1.0
54,193.3,17,4,20,1.0
55,194.4,14,0,20,2.0
56,194.8,14,1,20,2.0
57,195.4,20,2,20,1.0
58,195.5,14,5,20,2.0
59,196.4,21,0,24,1.0
60,196.6,18,0,28,1.0
61,196.9,15,4,32,1.0
62,197.7,15,1,32,2.0
63,198.4,19,1,28,2.0
64,198.6,17,1,28,1.0
65,199.0,16,1,28,1.0
66,199.3,15,3,28,2.0
