time,playID,playQuality,buffer_size
1.0,0,1,0
5.0,1,1,4
9.0,2,2,8
13.0,3,3,8
17.0,4,3,8
21.0,5,3,8
25.0,6,6,12
29.0,7,5,12
33.0,8,6,8
37.01,-1.0,-1.0,0
37.06,-1.0,-1.0,0
37.11,-1.0,-1.0,0
37.16,-1.0,-1.0,0
37.21,-1.0,-1.0,0
37.26,-1.0,-1.0,0
37.31,-1.0,-1.0,0
37.36,-1.0,-1.0,0
37.41,-1.0,-1.0,0
37.46,-1.0,-1.0,0
37.51,-1.0,-1.0,0
37.56,-1.0,-1.0,0
37.61,-1.0,-1.0,0
37.66,-1.0,-1.0,0
37.71,-1.0,-1.0,0
37.76,-1.0,-1.0,0
37.81,-1.0,-1.0,0
37.86,-1.0,-1.0,0
37.91,-1.0,-1.0,0
37.96,-1.0,-1.0,0
38.01,-1.0,-1.0,0
38.06,-1.0,-1.0,0
38.11,-1.0,-1.0,0
38.16,-1.0,-1.0,0
38.21,-1.0,-1.0,0
38.26,-1.0,-1.0,0
38.31,-1.0,-1.0,0
38.36,-1.0,-1.0,0
38.41,-1.0,-1.0,0
38.46,-1.0,-1.0,0
38.51,-1.0,-1.0,0
38.56,-1.0,-1.0,0
38.61,-1.0,-1.0,0
38.66,-1.0,-1.0,0
38.71,-1.0,-1.0,0
38.76,-1.0,-1.0,0
38.81,-1.0,-1.0,0
38.86,-1.0,-1.0,0
38.91,-1.0,-1.0,0
38.9,9,2,12
42.9,10,6,16
46.9,11,6,12
50.9,12,3,12
54.9,13,6,8
58.9,14,6,8
62.9,15,6,8
66.9,16,6,8
70.9,17,6,4
74.9,18,6,0
78.96,-1.0,-1.0,0
79.01,-1.0,-1.0,0
79.06,-1.0,-1.0,0
79.11,-1.0,-1.0,0
79.16,-1.0,-1.0,0
79.21,-1.0,-1.0,0
79.26,-1.0,-1.0,0
79.31,-1.0,-1.0,0
79.36,-1.0,-1.0,0
79.41,-1.0,-1.0,0
79.46,-1.0,-1.0,0
79.51,-1.0,-1.0,0
79.56,-1.0,-1.0,0
79.61,-1.0,-1.0,0
79.66,-1.0,-1.0,0
79.71,-1.0,-1.0,0
79.76,-1.0,-1.0,0
79.81,-1.0,-1.0,0
79.86,-1.0,-1.0,0
79.91,-1.0,-1.0,0
79.96,-1.0,-1.0,0
80.01,-1.0,-1.0,0
80.06,-1.0,-1.0,0
80.11,-1.0,-1.0,0
80.16,-1.0,-1.0,0
80.21,-1.0,-1.0,0
