time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,1,2.0,2081641.0,0.7,4.3,0,-4.0
0.6,8,1.0,1637995.0,0.7,4.3,0,-4.0
1.3,3,2.0,1936588.0,0.7,4.3,0,-4.0
3.2,2,1.0,1682476.0,1.4,4.3,0,-3.0
6.0,4,1.0,1951810.0,1.4,4.3,0,-3.0
7.5,5,2.0,1163518.0,2.6,4.8,0,-2.0
10.2,6,1.0,1800724.0,5.6,6.6,0,-1.0
14.6,7,2.0,1196916.0,10.6,8.6,0,2.0
16.7,10,1.0,2340184.0,15.6,8.6,0,7.0
22.8,8,1.0,3073371.0,15.6,8.6,0,7.0
24.5,11,1.0,2826103.0,18.6,10.6,0,8.0
27.9,9,2.0,788129.0,22.6,11.6,0,11.0
30.3,12,1.0,1853920.0,24.1,14.1,0,10.0
35.4,13,2.0,692380.0,30.6,17.6,0,13.0
40.9,14,1.0,1983315.0,30.6,17.6,0,13.0
42.2,18,1.0,1792940.0,35.6,17.6,0,18.0
47.5,16,1.0,2217488.0,35.6,17.6,0,18.0
48.5,15,1.0,2801146.0,40.6,17.6,0,23.0
49.7,14,1.0,1723951.0,40.6,17.6,1,22.0
52.9,17,1.0,1522507.0,40.6,17.6,8,15.0
54.2,15,1.0,1501138.0,40.6,17.6,37,-14.0
60.1,14,1.0,1352660.0,40.6,17.6,56,-33.0
63.9,14,1.0,1348117.0,40.6,17.6,60,-37.0
64.7,14,2.0,1307151.0,45.6,17.6,60,-32.0
67.7,16,1.0,1181488.0,45.6,17.6,60,-32.0
68.6,19,2.0,580789.0,53.3,23.9,60,-31.0
79.0,17,1.0,1086987.0,54.0,28.2,60,-34.0
80.8,18,1.0,1011553.0,54.0,28.2,60,-34.0
81.8,19,1.0,1210312.0,54.0,28.2,60,-34.0
82.7,20,1.0,1313730.0,54.6,28.6,60,-34.0
91.9,20,1.0,1723531.0,54.6,28.6,60,-34.0
92.6,25,1.0,1090331.0,54.9,28.6,60,-34.0
96.4,21,1.0,785621.0,54.9,28.6,69,-42.0
98.4,24,1.0,861751.0,55.6,29.0,76,-50.0
103.9,22,2.0,746244.0,55.6,29.0,85,-58.0
105.6,23,1.0,1054910.0,55.6,29.0,88,-61.0
106.2,25,2.0,950467.0,56.3,29.0,88,-61.0
109.8,26,1.0,1587526.0,66.3,33.3,88,-55.0
114.6,27,1.0,2058611.0,66.3,33.3,88,-55.0
116.4,28,2.0,491228.0,66.3,33.3,88,-55.0
118.0,32,1.0,3649342.0,71.3,33.3,88,-50.0
120.9,29,1.0,4136623.0,76.3,33.3,88,-45.0
123.6,30,1.0,3856296.0,81.3,33.3,88,-40.0
126.5,29,1.0,3242533.0,81.3,33.3,88,-40.0
130.0,31,1.0,2652661.0,81.3,33.3,94,-46.0
131.5,29,1.0,2126737.0,81.3,33.3,121,-73.0
136.8,29,1.0,1767726.0,81.3,33.3,147,-99.0
142.0,29,2.0,708514.0,86.3,33.3,147,-94.0
143.2,36,1.0,2725928.0,86.3,33.3,147,-94.0
144.9,33,1.0,1852453.0,92.3,35.3,147,-90.0
152.1,34,1.0,1257166.0,93.5,37.1,147,-91.0
157.9,37,2.0,2122464.0,96.5,38.9,147,-89.0
161.4,38,1.0,997921.0,101.5,40.9,147,-86.0
163.4,35,2.0,1390800.0,104.5,42.9,147,-85.0
166.6,36,1.0,1580744.0,104.5,42.9,167,-105.0
174.0,39,1.0,808244.0,104.5,42.9,168,-106.0
174.2,40,2.0,1405395.0,114.5,44.9,168,-98.0
181.3,41,1.0,1182806.0,119.5,44.9,168,-93.0
183.6,38,2.0,2086745.0,121.0,48.4,168,-95.0
189.3,42,2.0,1961826.0,121.0,48.4,168,-95.0
189.3,43,1.0,2402713.0,126.0,49.4,168,-91.0
192.3,44,1.0,1248153.0,126.0,49.4,168,-91.0
193.7,45,2.0,1364137.0,141.0,49.4,168,-76.0
203.0,46,1.0,742197.0,141.0,49.4,168,-76.0
205.6,47,2.0,1394724.0,151.0,49.4,168,-66.0
211.3,49,2.0,1954927.0,156.0,49.4,168,-61.0
216.4,48,2.0,1098873.0,156.0,49.4,204,-97.0
225.4,50,1.0,1688862.0,166.0,49.4,204,-87.0
230.8,51,1.0,1622816.0,166.0,49.4,204,-87.0
231.5,52,2.0,842769.0,171.0,49.4,204,-82.0
236.5,53,1.0,1174666.0,186.0,49.4,204,-67.0
249.3,54,1.0,683283.0,186.0,49.4,212,-76.0
251.1,55,2.0,782948.0,191.0,49.4,212,-71.0
253.1,56,2.0,1365371.0,191.0,49.4,212,-71.0
254.7,57,2.0,1096153.0,196.0,49.4,238,-92.0
264.3,58,2.0,601145.0,196.0,49.4,242,-95.0
265.0,59,1.0,690388.0,207.9,62.7,242,-97.0
