time,playID,playQuality,buffer_size,quality level,,,
0.5,0,1,0,2,,,
4.5,1,0,0,1,,,
8.5,2,0,0,1,,67,3.35
12.5,3,0,8,1,,,
16.5,4,2,8,3,,,
20.5,5,3,8,4,,,
24.5,6,3,8,4,,,
28.5,7,3,12,4,,,
32.5,8,3,12,4,,,
36.5,9,6,8,7,,,
40.5,10,6,4,7,,,
44.57,-1,-1,0,0,,,
44.62,-1,-1,0,0,,,
44.67,-1,-1,0,0,,,
44.72,-1,-1,0,0,,,
44.77,-1,-1,0,0,,,
44.82,-1,-1,0,0,,,
44.87,-1,-1,0,0,,,
44.92,-1,-1,0,0,,,
44.97,-1,-1,0,0,,,
45.02,-1,-1,0,0,,,
45.07,-1,-1,0,0,,,
45.12,-1,-1,0,0,,,
45.17,-1,-1,0,0,,,
45.2,11,6,12,7,,,
49.2,12,6,12,7,,,
53.2,13,3,8,4,,,
57.2,14,3,20,4,,,
61.2,15,6,16,7,,,
65.2,16,3,12,4,,,
69.2,17,6,8,7,,,
73.2,18,6,8,7,,,
77.22,-1,-1,0,0,,,
77.27,-1,-1,0,0,,,
77.32,-1,-1,0,0,,,
77.37,-1,-1,0,0,,,
77.42,-1,-1,0,0,,,
77.47,-1,-1,0,0,,,
77.52,-1,-1,0,0,,,
77.57,-1,-1,0,0,,,
77.62,-1,-1,0,0,,,
77.67,-1,-1,0,0,,,
77.72,-1,-1,0,0,,,
77.77,-1,-1,0,0,,,
77.82,-1,-1,0,0,,,
77.87,-1,-1,0,0,,,
77.92,-1,-1,0,0,,,
77.97,-1,-1,0,0,,,
78.02,-1,-1,0,0,,,
78.07,-1,-1,0,0,,,
78.12,-1,-1,0,0,,,
78.17,-1,-1,0,0,,,
78.22,-1,-1,0,0,,,
78.27,-1,-1,0,0,,,
78.32,-1,-1,0,0,,,
78.37,-1,-1,0,0,,,
78.42,-1,-1,0,0,,,
78.47,-1,-1,0,0,,,
78.52,-1,-1,0,0,,,
78.57,-1,-1,0,0,,,
78.62,-1,-1,0,0,,,
78.67,-1,-1,0,0,,,
78.72,-1,-1,0,0,,,
78.77,-1,-1,0,0,,,
78.82,-1,-1,0,0,,,
78.87,-1,-1,0,0,,,
78.92,-1,-1,0,0,,,
78.97,-1,-1,0,0,,,
79.02,-1,-1,0,0,,,
79.07,-1,-1,0,0,,,
79.12,-1,-1,0,0,,,
79.17,-1,-1,0,0,,,
79.22,-1,-1,0,0,,,
79.27,-1,-1,0,0,,,
79.32,-1,-1,0,0,,,
79.37,-1,-1,0,0,,,
79.42,-1,-1,0,0,,,
79.47,-1,-1,0,0,,,
79.52,-1,-1,0,0,,,
79.57,-1,-1,0,0,,,
79.62,-1,-1,0,0,,,
79.67,-1,-1,0,0,,,
79.72,-1,-1,0,0,,,
79.77,-1,-1,0,0,,,
79.82,-1,-1,0,0,,,
79.87,-1,-1,0,0,,,
79.9,19,6,16,7,,,
83.9,20,6,16,7,,,
87.9,21,6,24,7,,,
91.9,22,6,20,7,,,
95.9,23,6,20,7,,,
99.9,24,6,24,7,,,
103.9,25,6,20,7,,,
107.9,26,6,20,7,,,
111.9,27,6,16,7,,,
115.9,28,6,20,7,,,
119.9,29,6,16,7,,,
123.9,30,6,16,7,,,
127.9,31,6,16,7,,,
131.9,32,6,16,7,,,
135.9,33,6,12,7,,,
139.9,34,6,8,7,,,
143.9,35,6,8,7,,,
147.9,36,6,12,7,,,
151.9,37,6,8,7,,,
155.9,38,6,12,7,,,
159.9,39,6,12,7,,,
163.9,40,6,12,7,,,
167.9,41,6,8,7,,,
171.9,42,6,4,7,,,
175.9,43,6,4,7,,,
179.9,44,6,4,7,,,
183.9,45,6,4,7,,,
187.9,46,3,12,4,,,
191.9,47,3,12,4,,,
195.9,48,3,12,4,,,
199.9,49,3,12,4,,,
203.9,50,6,8,7,,,
207.9,51,3,12,4,,,
211.9,52,6,8,7,,,
215.9,53,6,8,7,,,
219.9,54,6,8,7,,,
223.9,55,6,4,7,,,
227.9,56,6,0,7,,,
231.9,57,0,4,1,,,
235.9,58,0,0,1,,,
239.9,59,0,0,1,,,
