time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,1,2.0,438597.0,0.7,4.3,0,-4.0
0.4,2,1.0,2370968.0,0.7,4.3,0,-4.0
2.4,2,1.0,1672532.0,0.7,4.3,0,-4.0
3.1,2,1.0,2315042.0,0.7,4.3,3,-7.0
5.1,2,1.0,2325132.0,0.7,4.3,6,-9.0
5.6,2,1.0,2953893.0,0.7,4.3,8,-11.0
6.0,4,2.0,405458.0,1.4,4.3,8,-11.0
7.2,3,1.0,1896488.0,1.4,4.3,8,-11.0
9.7,5,1.0,1255426.0,2.6,4.8,8,-10.0
12.2,6,1.0,1779839.0,3.8,4.8,8,-9.0
15.2,7,2.0,518607.0,3.8,4.8,8,-9.0
15.5,10,1.0,1766086.0,5.3,5.1,8,-8.0
18.8,8,1.0,1748111.0,5.3,5.1,8,-8.0
21.8,11,1.0,1622162.0,6.8,5.1,8,-6.0
25.4,12,1.0,1813268.0,8.3,5.1,8,-5.0
26.6,13,2.0,846466.0,8.3,5.1,8,-5.0
28.6,9,1.0,1866254.0,9.8,5.1,8,-3.0
31.7,14,1.0,2688468.0,9.8,5.1,8,-3.0
33.7,15,2.0,2113736.0,11.3,5.1,8,-2.0
34.1,16,1.0,1662352.0,12.8,5.1,8,-0.0
38.1,17,2.0,1764519.0,14.3,5.1,8,1.0
42.1,18,1.0,2010442.0,15.8,5.1,8,3.0
46.1,19,2.0,1401763.0,17.3,5.1,8,4.0
50.1,20,1.0,2420486.0,18.8,5.1,8,6.0
55.3,21,1.0,2213196.0,23.8,8.6,8,7.0
58.1,22,1.0,1880950.0,28.8,8.6,8,12.0
62.1,23,2.0,2004868.0,33.8,8.6,8,17.0
66.1,24,2.0,1923343.0,38.8,8.6,8,22.0
70.1,25,2.0,1500965.0,43.8,8.6,8,27.0
74.1,26,1.0,1786653.0,48.8,8.6,8,32.0
78.1,27,2.0,1175877.0,53.8,8.6,8,37.0
82.1,28,1.0,2078856.0,58.8,8.6,8,42.0
86.1,29,2.0,1718858.0,63.8,8.6,8,47.0
90.1,30,1.0,1647488.0,68.8,8.6,8,52.0
96.8,31,2.0,988812.0,73.8,8.6,8,57.0
99.0,32,1.0,1801460.0,78.8,8.6,8,62.0
105.3,33,1.0,1845017.0,83.8,8.6,8,67.0
108.1,34,2.0,845228.0,88.8,8.6,8,72.0
112.5,35,1.0,2350039.0,98.8,8.6,8,82.0
118.9,36,1.0,3010942.0,103.8,8.6,8,87.0
122.9,37,1.0,2723280.0,103.8,8.6,8,87.0
124.4,38,2.0,1009231.0,108.8,8.6,8,92.0
127.1,39,1.0,2141450.0,113.8,8.6,8,97.0
130.1,40,1.0,1695471.0,118.8,8.6,8,102.0
137.0,41,2.0,575243.0,123.8,8.6,8,107.0
138.1,42,1.0,1756211.0,128.8,8.6,8,112.0
143.0,43,1.0,2531575.0,133.8,8.6,8,117.0
146.1,44,1.0,1501261.0,138.8,8.6,8,122.0
153.5,45,2.0,1205071.0,143.8,8.6,8,127.0
155.0,46,1.0,1319811.0,158.8,8.6,8,142.0
166.9,47,2.0,1416160.0,158.8,8.6,8,142.0
167.6,48,1.0,1212035.0,163.8,8.6,8,147.0
172.6,49,2.0,1070345.0,173.8,8.6,8,157.0
181.2,51,1.0,1342826.0,173.8,8.6,8,157.0
182.0,50,2.0,1076511.0,183.8,8.6,8,167.0
188.2,52,1.0,971332.0,188.8,8.6,8,172.0
190.4,53,2.0,1077102.0,203.8,8.6,8,187.0
204.3,54,2.0,1200456.0,203.8,8.6,8,187.0
205.2,55,1.0,1469585.0,208.8,8.6,8,192.0
208.6,56,2.0,1285623.0,208.8,8.6,8,192.0
209.9,58,1.0,2202540.0,218.8,8.6,8,202.0
214.3,57,1.0,3570159.0,218.8,8.6,8,202.0
216.9,59,1.0,4014464.0,243.3,19.6,8,216.0
