reward_quality,smooth_penalty,rebuf_penalty,sum_reward
207.9,62.7,242.2499999999969,-97.04999999999691,-97.04999999999691
242.2,35.5,11.0,195.7,49.32500000000154
186.2,42.7,0.0,143.5,80.71666666666769
177.0,22.4,12.999999999999995,141.6,95.93750000000077
167.3,46.2,85.00000000000054,36.09999999999947,83.97000000000051
214.0,34.2,24.749999999999954,155.05000000000007,95.8166666666671
223.4,62.4,17.999999999999975,143.00000000000003,102.55714285714323
198.5,69.5,54.25000000000009,74.74999999999991,99.08125000000032
221.1,52.2,19.999999999999968,148.9,104.61666666666696
192.3,57.0,17.49999999999998,117.80000000000004,105.93500000000026
205.9,20.3,17.999999999999975,167.60000000000002,111.54090909090932
239.1,38.0,0.0,201.1,119.00416666666688
212.5,51.3,0.0,161.2,122.2500000000002
264.7,24.0,0.0,240.7,130.71071428571446
167.4,32.7,62.50000000000021,72.19999999999978,126.81000000000016
194.1,40.5,0.0,153.6,128.48437500000014
196.1,58.0,0.0,138.1,129.05000000000013
227.0,17.0,0.0,210.0,133.54722222222233
252.7,21.2,1.9999999999999998,229.5,138.59736842105275
232.2,32.3,0.0,199.89999999999998,141.6625000000001
229.6,26.8,6.000000000000002,196.79999999999998,144.28809523809537
210.7,59.2,76.00000000000041,75.49999999999959,141.16136363636372
246.8,20.6,67.50000000000028,158.69999999999973,141.92391304347834
233.3,50.2,2.25,180.85000000000002,143.54583333333338
221.3,26.1,0.0,195.20000000000002,145.61200000000005
238.4,52.2,25.49999999999995,160.70000000000005,146.19230769230774
249.0,26.6,36.749999999999915,185.6500000000001,147.65370370370374
230.0,45.7,15.499999999999986,168.8,148.4089285714286
241.3,46.5,89.5000000000006,105.29999999999941,146.92241379310346
213.6,37.5,0.0,176.1,147.895
223.7,23.2,9.750000000000005,190.75,149.2774193548387
194.8,51.6,90.25000000000061,52.949999999999406,146.26718750000003
237.1,31.6,20.999999999999964,184.50000000000003,147.42575757575761
231.3,49.5,9.500000000000005,172.3,148.1573529411765
243.6,22.1,5.750000000000002,215.75,150.08857142857147
248.3,22.3,19.24999999999997,206.75000000000003,151.66250000000002
249.3,16.7,73.75000000000038,158.84999999999962,151.85675675675677
234.3,37.6,127.50000000000114,69.19999999999888,149.68157894736842
232.2,32.8,0.0,199.39999999999998,150.95641025641024
247.2,12.6,33.49999999999992,201.10000000000008,152.20999999999998
236.8,45.2,30.249999999999932,161.35000000000008,152.4329268292683
232.1,10.6,0.0,221.5,154.07738095238096
204.0,45.1,18.749999999999975,140.15000000000003,153.75348837209302
262.3,27.2,52.000000000000064,183.09999999999997,154.42045454545453
214.0,32.6,6.250000000000002,175.15,154.8811111111111
202.0,36.2,13.249999999999993,152.55,154.8304347826087
243.3,20.3,39.7499999999999,183.2500000000001,155.43510638297872
205.5,34.5,80.50000000000047,90.49999999999953,154.08229166666663
229.5,54.1,4.250000000000001,171.15,154.43061224489793
250.1,37.1,10.250000000000004,202.75,155.39699999999996
220.5,19.4,56.00000000000012,145.09999999999988,155.19509803921565
224.9,19.5,8.000000000000004,197.4,156.00673076923073
235.9,50.1,62.75000000000022,123.04999999999978,155.3849056603773
212.4,40.2,30.499999999999932,141.70000000000005,155.13148148148144
256.2,39.4,0.5,216.29999999999998,156.2436363636363
240.2,22.0,24.499999999999954,193.70000000000005,156.91249999999997
232.1,38.8,41.74999999999992,151.5500000000001,156.81842105263155
220.0,39.3,2.25,178.45,157.19137931034481
220.0,34.3,0.0,185.7,157.67457627118642
239.6,46.1,71.75000000000036,121.74999999999964,157.07583333333332
211.3,35.0,18.99999999999997,157.30000000000004,157.0795081967213
187.9,57.0,41.249999999999915,89.65000000000009,155.99193548387095
175.7,45.5,60.00000000000018,70.19999999999982,154.63015873015868
267.6,11.8,13.499999999999993,242.3,155.99999999999997
246.1,26.4,15.249999999999986,204.45,156.7453846153846
230.5,47.2,0.0,183.3,157.14772727272725
222.2,33.0,43.99999999999995,145.20000000000005,156.96940298507462
228.9,34.3,46.74999999999999,147.85000000000002,156.83529411764704
242.0,45.3,4.500000000000001,192.2,157.34782608695653
201.5,44.9,60.00000000000018,96.59999999999982,156.48000000000002
238.2,15.5,15.749999999999984,206.95000000000002,157.19084507042254
221.6,57.4,12.249999999999996,151.95,157.11805555555554
193.4,49.2,15.999999999999984,128.20000000000002,156.72191780821916
239.6,18.8,3.25,217.54999999999998,157.5439189189189
248.3,20.0,15.999999999999984,212.30000000000004,158.27399999999997
227.9,26.3,0.0,201.6,158.8440789473684
201.6,25.9,18.249999999999975,157.45000000000002,158.825974025974
242.7,33.1,8.500000000000004,201.1,159.3679487179487
208.6,42.3,72.25000000000036,94.04999999999966,158.5411392405063
240.8,27.5,19.49999999999997,193.80000000000004,158.98187499999997
206.4,34.5,40.74999999999991,131.1500000000001,158.63827160493824
238.9,31.0,44.49999999999996,163.40000000000003,158.6963414634146
198.4,43.2,41.74999999999992,113.45000000000007,158.15120481927707
235.1,45.1,48.00000000000001,142.0,157.95892857142854
212.2,24.6,49.75000000000003,137.84999999999997,157.72235294117644
246.3,36.3,0.0,210.0,158.3302325581395
248.3,22.5,58.000000000000156,167.79999999999984,158.43908045977008
252.4,32.5,0.0,219.9,159.1375
255.0,19.0,0.0,236.0,160.0011235955056
229.1,29.6,3.25,196.25,160.40388888888887
208.4,57.4,0.0,151.0,160.30054945054943
244.1,46.2,41.74999999999992,156.15000000000006,160.2554347826087
239.9,28.0,86.50000000000055,125.39999999999945,159.8806451612903
221.7,42.1,16.749999999999982,162.85000000000002,159.91223404255317
175.4,52.0,15.749999999999984,107.65000000000002,159.36210526315787
243.1,24.3,3.5000000000000004,215.29999999999998,159.94479166666665
217.6,36.3,84.25000000000053,97.04999999999949,159.29639175257728
239.3,11.5,0.25,227.55,159.9928571428571
240.0,24.1,31.49999999999993,184.4000000000001,160.2393939393939
232.7,27.6,47.75,157.35,160.21049999999997
248.0,41.2,0.0,206.8,160.67178217821777
266.3,29.6,6.250000000000002,230.45000000000002,163.91435643564353
252.3,23.2,22.24999999999996,206.85000000000005,164.02475247524745
232.0,27.5,29.499999999999936,175.00000000000006,164.33663366336626
264.6,26.6,6.000000000000002,232.00000000000003,165.23168316831678
211.6,26.9,1.9999999999999998,182.7,166.68316831683165
246.4,33.4,17.74999999999998,195.25000000000003,167.08118811881187
234.8,27.6,2.25,204.95000000000002,167.69455445544548
231.1,21.9,104.50000000000081,104.69999999999918,167.99108910891084
243.4,13.0,12.249999999999996,218.15,168.6767326732673
243.3,19.6,8.000000000000004,215.70000000000002,169.64603960396036
200.2,38.9,138.00000000000128,23.299999999998704,168.21732673267323
235.9,22.7,19.74999999999997,193.45000000000005,168.14158415841575
250.8,30.6,103.25000000000078,116.94999999999924,167.7034653465346
208.2,44.0,4.750000000000002,159.45,166.89900990099005
274.5,20.2,8.250000000000004,246.05,168.62029702970293
233.6,32.0,0.0,201.6,169.09554455445536
239.9,39.4,5.750000000000002,194.75,169.65643564356424
256.1,29.6,12.749999999999995,213.75000000000003,169.69356435643556
256.0,27.8,0.0,228.2,169.6806930693068
223.8,29.7,48.25000000000001,145.85000000000002,169.14554455445537
215.5,35.5,16.99999999999998,163.00000000000003,168.81089108910885
208.6,33.6,8.000000000000004,167.0,169.71683168316827
211.1,34.2,7.250000000000003,169.64999999999998,169.8252475247524
232.2,13.4,38.24999999999991,180.55000000000007,169.82227722772268
238.6,12.6,5.000000000000001,221.0,170.07772277227718
180.4,68.2,40.4999999999999,71.7000000000001,169.1965346534653
234.5,23.8,13.249999999999993,197.45,169.3133663366336
218.3,37.7,84.75000000000053,95.8499999999995,168.59108910891084
230.5,41.1,89.5000000000006,99.89999999999941,168.53762376237617
231.6,23.8,17.74999999999998,190.05,168.67574257425733
225.8,55.8,45.74999999999998,124.25000000000003,168.01732673267315
237.6,13.0,56.00000000000012,168.59999999999988,169.16237623762368
244.1,31.3,13.499999999999993,199.29999999999998,169.308910891089
233.6,20.9,21.999999999999964,190.70000000000002,169.4910891089108
235.7,45.4,87.50000000000057,102.79999999999941,168.37277227722763
267.8,18.6,11.25,237.95000000000002,168.6816831683168
271.7,18.4,3.7500000000000004,249.54999999999998,169.57970297029695
236.2,63.4,176.50000000000068,-3.700000000000699,168.85792079207914
238.0,28.6,82.0000000000005,127.39999999999951,168.1450495049504
220.5,40.2,61.2500000000002,119.04999999999981,167.33267326732664
255.9,18.4,34.999999999999915,202.50000000000009,167.7400990099009
243.8,12.7,3.5000000000000004,227.60000000000002,167.80049504950483
247.1,19.4,3.25,224.45,168.63514851485144
198.6,47.7,24.249999999999954,126.65000000000002,168.07623762376232
213.5,45.9,68.00000000000028,99.59999999999971,167.3282178217821
244.1,22.1,30.499999999999932,191.50000000000006,167.71386138613852
225.0,28.8,3.5000000000000004,192.7,167.80742574257417
207.7,52.3,32.74999999999992,122.65000000000006,168.12574257425737
225.1,50.5,16.749999999999982,157.85000000000002,167.99405940594053
