time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,0,2.0,921449.0,0.7,4.3,0,-4.0
0.6,1,1.0,1640463.0,0.7,4.3,0,-4.0
1.2,2,2.0,974446.0,0.7,4.3,0,-4.0
1.3,3,1.0,1910030.0,0.7,4.3,0,-4.0
2.4,4,2.0,1362141.0,0.7,4.3,0,-4.0
2.7,5,1.0,1787258.0,0.7,4.3,0,-4.0
4.4,6,1.0,2416134.0,1.0,4.3,0,-3.0
5.1,7,2.0,1350425.0,1.0,4.3,0,-3.0
6.8,8,1.0,1807721.0,1.3,4.3,0,-3.0
9.2,9,1.0,1843009.0,1.3,4.3,0,-3.0
9.5,10,2.0,546930.0,2.0,4.7,0,-3.0
12.7,11,1.0,1897243.0,3.5,5.5,0,-2.0
16.7,12,1.0,2289393.0,5.0,5.5,0,-0.0
20.7,13,2.0,962495.0,6.5,5.5,0,1.0
24.7,14,1.0,1951897.0,8.0,5.5,0,2.0
28.7,15,2.0,907725.0,9.2,5.8,0,3.0
32.7,16,1.0,1253472.0,10.7,6.1,0,5.0
36.6,17,1.0,1551005.0,12.2,6.1,0,6.0
40.7,18,1.0,2276221.0,12.9,6.9,0,6.0
44.7,19,2.0,613917.0,14.4,7.7,0,7.0
48.7,20,1.0,1804959.0,15.9,7.7,0,8.0
52.7,21,1.0,1597151.0,16.6,8.5,0,8.0
56.6,22,2.0,1214920.0,18.1,9.3,0,9.0
60.7,23,2.0,1339045.0,18.8,10.1,0,9.0
64.7,24,2.0,1272527.0,20.3,10.9,0,9.0
68.7,25,1.0,2063215.0,21.8,10.9,0,11.0
72.7,26,2.0,888436.0,23.0,11.2,0,12.0
76.7,27,1.0,1952552.0,23.7,11.7,0,12.0
80.7,28,2.0,1103066.0,28.7,16.0,0,13.0
84.7,29,1.0,2812267.0,30.2,19.5,0,11.0
88.6,30,1.0,2676873.0,31.7,19.5,0,12.0
92.6,31,2.0,1467770.0,33.2,19.5,0,14.0
96.6,32,1.0,1590865.0,34.7,19.5,0,15.0
100.7,33,2.0,1264654.0,36.2,19.5,0,17.0
104.7,34,1.0,1920050.0,37.7,19.5,0,18.0
108.7,35,1.0,1739155.0,39.2,19.5,0,20.0
112.7,36,1.0,1291870.0,39.9,20.3,0,20.0
116.7,37,1.0,1686914.0,41.4,21.1,0,20.0
120.7,38,1.0,1439725.0,42.9,21.1,0,22.0
124.7,39,1.0,1246606.0,43.6,21.9,0,22.0
128.7,40,1.0,1129275.0,45.1,22.7,0,22.0
132.7,41,2.0,865580.0,46.3,23.0,0,23.0
136.7,42,1.0,1205342.0,47.8,23.3,0,24.0
140.7,43,2.0,1441223.0,49.3,23.3,0,26.0
144.7,44,2.0,1332568.0,50.8,23.3,0,27.0
148.7,45,2.0,1066784.0,52.3,23.3,0,29.0
152.7,46,2.0,928679.0,53.8,23.3,0,30.0
156.7,47,2.0,1020785.0,55.3,23.3,0,32.0
160.7,48,2.0,959154.0,56.8,23.3,0,34.0
164.7,49,2.0,1134991.0,58.3,23.3,0,35.0
168.7,50,2.0,1069839.0,59.8,23.3,0,36.0
172.7,51,2.0,1137605.0,60.5,24.1,0,36.0
176.7,52,2.0,1211038.0,61.2,24.1,0,37.0
180.6,53,2.0,1781317.0,61.9,24.1,0,38.0
184.7,54,2.0,1656897.0,63.4,24.9,0,38.0
188.7,55,2.0,1376042.0,64.1,25.7,0,38.0
192.7,56,2.0,896766.0,65.3,26.2,0,39.0
196.7,57,1.0,1642467.0,66.0,26.7,0,39.0
200.6,58,1.0,2193094.0,67.2,27.2,0,40.0
204.6,59,1.0,2559269.0,77.3,28.5,0,49.0
