reward_quality,smooth_penalty,rebuf_penalty,sum_reward
94.0,37.5,0.0,56.5
100.3,58.7,0.0,41.599999999999994
84.3,48.5,0.0,35.8
87.7,57.3,0.0,30.400000000000006
94.5,33.3,0.0,61.2
83.4,38.9,0.0,44.50000000000001
90.4,56.2,0.0,34.2
77.5,40.1,0.0,37.4
75.7,33.5,0.0,42.2
70.6,48.1,0.0,22.499999999999993
53.4,26.3,0.0,27.099999999999998
99.8,53.0,0.0,46.8
100.5,67.0,0.0,33.5
85.9,39.3,5.500000000000002,41.10000000000001
84.0,40.1,0.0,43.9
99.6,49.9,0.0,49.699999999999996
64.2,28.3,0.0,35.900000000000006
93.5,57.7,0.0,35.8
78.0,42.3,0.0,35.7
99.1,61.8,0.0,37.3
88.4,48.7,0.0,39.7
76.2,30.1,0.0,46.1
85.5,46.3,0.0,39.2
95.0,50.2,0.0,44.8
86.7,41.6,0.0,45.1
83.8,27.0,0.0,56.8
88.3,47.7,0.0,40.599999999999994
75.7,48.5,0.0,27.200000000000003
78.8,36.1,0.0,42.699999999999996
103.4,47.5,0.0,55.900000000000006
118.6,70.1,0.0,48.5
82.3,46.9,0.0,35.4
98.4,55.8,0.0,42.60000000000001
85.3,49.4,0.0,35.9
92.2,57.1,0.0,35.1
101.6,59.0,0.0,42.599999999999994
74.5,34.5,0.0,40.0
78.0,40.1,0.0,37.9
66.9,33.9,0.0,33.00000000000001
80.1,54.3,0.0,25.799999999999997
87.3,70.9,0.0,16.39999999999999
82.0,35.1,0.0,46.9
77.2,51.3,0.0,25.900000000000006
88.8,49.7,0.0,39.099999999999994
77.3,45.9,0.0,31.4
102.6,59.9,0.0,42.699999999999996
97.1,68.8,0.0,28.299999999999997
91.4,65.5,0.0,25.900000000000006
89.0,56.9,0.0,32.1
76.9,53.6,0.0,23.300000000000004
99.5,51.7,0.0,47.8
67.9,27.0,0.0,40.900000000000006
104.2,49.5,0.0,54.7
98.4,60.1,0.0,38.300000000000004
90.3,57.9,0.0,32.4
78.7,53.5,0.0,25.200000000000003
93.8,43.2,12.999999999999995,37.6
88.2,51.5,25.74999999999995,10.950000000000053
96.3,51.1,0.0,45.199999999999996
100.3,70.4,0.0,29.89999999999999
90.6,49.4,0.0,41.199999999999996
55.5,21.3,5.000000000000001,29.200000000000003
103.1,53.2,0.0,49.89999999999999
85.2,33.9,0.0,51.300000000000004
79.7,49.1,0.0,30.6
90.7,66.1,0.0,24.60000000000001
105.3,55.5,0.0,49.8
91.5,55.3,0.0,36.2
117.6,69.5,0.0,48.099999999999994
94.3,50.9,0.0,43.4
77.0,35.1,0.0,41.9
83.4,36.3,0.0,47.10000000000001
93.6,48.3,0.0,45.3
86.7,65.1,0.0,21.60000000000001
85.0,46.3,0.0,38.7
84.7,49.9,0.0,34.800000000000004
85.2,47.1,0.0,38.1
91.9,48.6,0.0,43.300000000000004
87.8,53.0,0.0,34.8
77.6,42.3,0.0,35.3
104.1,61.4,0.0,42.699999999999996
95.5,67.8,24.999999999999954,2.700000000000049
89.9,39.7,0.0,50.2
82.0,47.7,0.0,34.3
90.5,51.4,0.0,39.1
93.0,44.0,0.0,49.0
81.8,44.5,0.0,37.3
82.4,62.4,0.0,20.000000000000007
81.7,61.8,0.0,19.900000000000006
97.9,66.5,0.0,31.400000000000006
98.6,67.7,27.249999999999943,3.6500000000000483
103.1,50.1,0.0,52.99999999999999
94.2,53.5,0.0,40.7
92.8,56.5,0.0,36.3
78.4,40.1,0.0,38.300000000000004
70.1,24.9,0.0,45.199999999999996
77.3,32.1,0.0,45.199999999999996
87.8,42.1,0.0,45.699999999999996
96.4,46.4,0.0,50.00000000000001
70.1,35.7,0.0,34.39999999999999
92.1,48.9,0.0,43.199999999999996
92.6,45.7,0.0,46.89999999999999
85.4,60.7,0.0,24.700000000000003
108.9,76.9,0.0,32.0
79.4,43.3,0.0,36.10000000000001
62.8,29.9,0.0,32.9
92.8,48.5,0.0,44.3
92.8,49.3,0.0,43.5
68.1,38.5,0.0,29.599999999999994
89.2,46.2,0.0,43.0
90.7,53.1,0.0,37.6
88.9,51.1,0.0,37.800000000000004
110.5,71.8,0.0,38.7
81.7,42.9,0.0,38.800000000000004
101.1,68.3,0.0,32.8
99.0,42.9,0.0,56.1
95.9,57.1,0.0,38.800000000000004
98.3,69.9,0.0,28.39999999999999
77.3,28.5,0.0,48.8
102.4,65.9,0.0,36.5
89.6,57.9,0.0,31.699999999999996
92.6,50.3,0.0,42.3
90.0,66.3,0.0,23.700000000000003
79.6,50.3,0.0,29.299999999999997
92.5,39.7,0.0,52.8
62.9,26.1,0.0,36.8
76.9,27.5,0.0,49.400000000000006
74.1,26.9,0.0,47.199999999999996
89.9,53.9,0.0,36.00000000000001
99.8,48.9,0.0,50.9
60.2,24.3,0.0,35.900000000000006
99.7,60.7,0.0,39.0
80.0,42.3,0.0,37.7
90.9,36.1,0.0,54.800000000000004
93.9,63.5,0.0,30.400000000000006
93.6,61.5,0.0,32.099999999999994
87.4,44.9,0.0,42.50000000000001
94.2,55.2,0.0,39.0
87.8,52.5,0.0,35.3
83.2,36.5,0.0,46.7
92.4,47.5,0.0,44.900000000000006
78.4,45.9,0.0,32.50000000000001
92.8,47.3,0.0,45.5
86.5,47.2,0.0,39.3
83.5,30.2,0.0,53.3
95.3,63.3,0.0,32.0
74.1,38.1,0.0,35.99999999999999
104.1,66.5,0.0,37.599999999999994
96.6,55.1,0.0,41.49999999999999
65.6,27.3,0.0,38.3
