,reward_quality,smooth_penalty,rebuf_penalty,sum_reward,,,,,,,
,207.9,62.7,242.25,-97.05,,,,,,,
,242.2,35.5,11,195.7,,,,,,,
,186.2,42.7,0,143.5,,,,,,,
,177,22.4,13,141.6,,,,,,,
,167.3,46.2,85,36.1,,,,,,,
,214,34.2,24.75,155.05,,,,,,,
,223.4,62.4,18,143,,,,,,,
,198.5,69.5,54.25,74.75,,,,,,,
,221.1,52.2,20,148.9,,,,,,,
,192.3,57,17.5,117.8,,,,,,,
,205.9,20.3,18,167.6,,,,,,,
,239.1,38,0,201.1,,,,,,,
,212.5,51.3,0,161.2,,,,,,,
,264.7,24,0,240.7,,,,,,,
,167.4,32.7,62.5,72.2,,,,,,,
,194.1,40.5,0,153.6,,,,,,,
,196.1,58,0,138.1,,,,,,,
,227,17,0,210,,,,,,,
,252.7,21.2,2,229.5,,,,,,,
,232.2,32.3,0,199.9,,,,,,,
,229.6,26.8,6,196.8,,,,,,,
,210.7,59.2,76,75.5,,,,,,,
,246.8,20.6,67.5,158.7,,,,,,,
,233.3,50.2,2.25,180.85,,,,,,,
,221.3,26.1,0,195.2,,,,,,,
,238.4,52.2,25.5,160.7,,,,,,,
,249,26.6,36.75,185.65,,,,,,,
,230,45.7,15.5,168.8,,,,,,,
,241.3,46.5,89.5,105.3,,,,,,,
,213.6,37.5,0,176.1,,,,,,,
,223.7,23.2,9.75,190.75,,,,,,,
,194.8,51.6,90.25,52.95,,,,,,,
,237.1,31.6,21,184.5,,,,,,,
,231.3,49.5,9.5,172.3,,,,,,,
,243.6,22.1,5.75,215.75,,,,,,,
,248.3,22.3,19.25,206.75,,,,,,,
,249.3,16.7,73.75,158.85,,,,,,,
,234.3,37.6,127.5,69.2,,,,,,,
,232.2,32.8,0,199.4,,,,,,,
,247.2,12.6,33.5,201.1,,,,,,,
,236.8,45.2,30.25,161.35,,,,,,,
,232.1,10.6,0,221.5,,,,,,,
,204,45.1,18.75,140.15,,,,,,,
,262.3,27.2,52,183.1,,,,,,,
,214,32.6,6.25,175.15,,,,,,,
,202,36.2,13.25,152.55,,,,,,,
,243.3,20.3,39.75,183.25,,,,,,,
,205.5,34.5,80.5,90.5,,,,,,,
,229.5,54.1,4.25,171.15,,,,,,,
,250.1,37.1,10.25,202.75,,,,,,,
,220.5,19.4,56,145.1,,,,,,,
,224.9,19.5,8,197.4,,,,,,,
,235.9,50.1,62.75,123.05,,,,,,,
,212.4,40.2,30.5,141.7,,,,,,,
,256.2,39.4,0.5,216.3,,,,,,,
,240.2,22,24.5,193.7,,,,,,,
,232.1,38.8,41.75,151.55,,,,,,,
,220,39.3,2.25,178.45,,,,,,,
,220,34.3,0,185.7,,,,,,,
,239.6,46.1,71.75,121.75,,,,,,,
,211.3,35,19,157.3,,,,,,,
,187.9,57,41.25,89.65,,,,,,,
,175.7,45.5,60,70.2,,,,,,,
,267.6,11.8,13.5,242.3,,,,,,,
