time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,5,2.0,1789124.0,0.7,4.3,0,-4.0
0.6,3,1.0,1833522.0,0.7,4.3,0,-4.0
3.8,1,1.0,1643386.0,0.7,4.3,0,-4.0
4.5,2,1.0,1589588.0,1.0,4.7,0,-4.0
4.7,2,2.0,1547575.0,1.0,4.7,0,-4.0
5.3,2,1.0,1627591.0,1.0,4.7,0,-4.0
6.5,5,2.0,1276570.0,1.0,4.7,0,-4.0
7.0,5,1.0,1350835.0,1.0,4.7,0,-4.0
7.1,5,2.0,1341053.0,1.0,4.7,0,-4.0
7.6,5,1.0,1364357.0,1.0,4.7,0,-4.0
7.7,5,2.0,1534111.0,1.0,4.7,0,-4.0
8.2,5,1.0,1507960.0,1.7,5.1,0,-3.0
8.7,4,2.0,1117151.0,1.7,5.1,0,-3.0
9.2,6,1.0,1592940.0,1.7,5.1,0,-3.0
9.9,3,1.0,1695421.0,1.7,5.1,0,-3.0
10.3,3,2.0,780563.0,1.7,5.1,0,-3.0
11.5,3,1.0,1715679.0,2.4,5.1,0,-3.0
13.0,8,1.0,1606190.0,2.4,5.1,0,-3.0
13.7,4,2.0,778076.0,2.4,5.1,0,-3.0
16.1,4,2.0,1520648.0,2.4,5.1,0,-3.0
16.3,4,1.0,1718804.0,3.1,5.1,0,-2.0
17.3,8,2.0,1154813.0,3.1,5.1,0,-2.0
17.4,8,1.0,1790886.0,3.1,5.1,0,-2.0
18.7,8,1.0,1896555.0,3.1,5.1,0,-2.0
19.5,10,2.0,970578.0,3.1,5.1,0,-2.0
20.1,8,1.0,2083850.0,3.8,5.1,0,-1.0
21.3,7,1.0,2019192.0,3.8,5.1,0,-1.0
21.8,9,1.0,1739639.0,3.8,5.1,0,-1.0
22.3,9,2.0,1259301.0,3.8,5.1,0,-1.0
24.5,9,1.0,1690332.0,4.1,5.5,0,-1.0
26.0,11,2.0,1136282.0,4.1,5.5,0,-1.0
27.2,11,1.0,2051683.0,4.4,5.5,0,-1.0
30.1,10,1.0,2295008.0,4.4,5.5,0,-1.0
31.1,10,2.0,876855.0,5.1,5.9,0,-1.0
32.6,14,1.0,2793590.0,5.1,5.9,0,-1.0
33.5,11,1.0,3072337.0,5.1,5.9,0,-1.0
35.5,11,1.0,2880462.0,6.3,6.4,0,-0.0
37.5,15,1.0,2812391.0,6.3,6.4,0,-0.0
37.8,12,2.0,818152.0,6.3,6.4,0,-0.0
38.1,15,1.0,2813086.0,6.3,6.4,0,-0.0
38.8,12,1.0,2604000.0,7.8,6.7,0,1.0
41.0,13,1.0,2639776.0,7.8,6.7,0,1.0
43.3,16,1.0,1366565.0,9.3,6.7,0,3.0
44.9,17,2.0,661047.0,9.3,6.7,0,3.0
47.3,16,1.0,1878595.0,10.8,6.7,0,4.0
51.4,13,2.0,764144.0,12.3,6.7,0,6.0
54.2,18,1.0,1849815.0,13.8,6.7,0,7.0
56.8,18,1.0,1858328.0,13.8,6.7,0,7.0
58.9,18,1.0,2542910.0,13.8,6.7,0,7.0
60.4,18,1.0,2576375.0,14.5,7.5,0,7.0
61.9,20,1.0,1399586.0,20.0,13.3,0,7.0
69.4,19,1.0,1634309.0,20.0,13.3,0,7.0
70.1,18,1.0,1708238.0,20.0,13.3,0,7.0
70.6,23,1.0,1337476.0,20.0,13.3,0,7.0
