time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,5,2.0,491724.0,0.7,4.3,0,-4.0
0.5,1,1.0,1961362.0,0.7,4.3,0,-4.0
1.1,2,1.0,2331548.0,0.7,4.3,0,-4.0
1.7,2,2.0,546471.0,0.7,4.3,0,-4.0
3.1,2,1.0,2840221.0,1.0,4.7,0,-4.0
4.7,3,1.0,2740136.0,1.0,4.7,0,-4.0
5.1,3,1.0,3105852.0,1.0,4.7,0,-4.0
6.7,3,1.0,3499592.0,1.0,4.7,0,-4.0
8.0,2,1.0,3215824.0,2.2,5.6,0,-3.0
9.9,6,1.0,2890578.0,2.2,5.6,0,-3.0
10.1,6,2.0,1135379.0,2.2,5.6,0,-3.0
10.8,6,1.0,2296883.0,2.2,5.6,0,-3.0
12.0,6,1.0,1704446.0,2.2,5.6,0,-3.0
12.5,6,2.0,1337168.0,3.4,5.6,0,-2.0
13.5,4,1.0,1454699.0,3.4,5.6,0,-2.0
14.1,6,1.0,1507500.0,3.4,5.6,0,-2.0
14.5,6,2.0,934137.0,3.7,6.5,0,-3.0
18.0,5,1.0,1558321.0,3.7,6.5,0,-3.0
20.0,5,1.0,1580504.0,5.2,7.7,0,-2.0
20.7,7,2.0,1078477.0,5.2,7.7,0,-2.0
21.9,6,1.0,1884363.0,6.7,7.7,0,-1.0
25.0,8,1.0,2489671.0,6.7,7.7,0,-1.0
25.1,7,2.0,440498.0,6.7,7.7,0,-1.0
25.4,8,1.0,2604411.0,6.7,7.7,0,-1.0
27.1,8,1.0,2229539.0,7.9,8.0,0,-0.0
29.0,9,1.0,1931349.0,7.9,8.0,0,-0.0
29.6,10,1.0,1790232.0,9.1,8.0,0,1.0
32.8,11,1.0,808025.0,9.1,8.0,0,1.0
36.3,12,1.0,604249.0,9.4,8.9,0,0.0
38.5,16,2.0,1254312.0,10.9,10.1,0,1.0
40.8,17,1.0,1177033.0,10.9,10.1,0,1.0
42.9,13,2.0,1210839.0,10.9,10.1,0,1.0
44.4,13,1.0,1451971.0,11.6,10.9,0,1.0
45.2,14,2.0,981155.0,11.6,10.9,0,1.0
46.3,15,1.0,2344240.0,11.6,10.9,0,1.0
