time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,5,2.0,538807.0,0.7,4.3,0,-4.0
0.7,1,1.0,1579018.0,0.7,4.3,0,-4.0
1.4,1,1.0,1599992.0,0.7,4.3,0,-4.0
2.1,2,1.0,1712125.0,0.7,4.3,0,-4.0
2.8,1,1.0,1992069.0,0.7,4.3,0,-4.0
3.3,1,1.0,2216940.0,0.7,4.3,0,-4.0
3.8,1,1.0,2277152.0,0.7,4.3,0,-4.0
4.3,1,1.0,2311005.0,1.0,4.7,0,-4.0
4.8,3,1.0,2310582.0,1.0,4.7,0,-4.0
5.3,3,1.0,2310582.0,1.0,4.7,0,-4.0
5.8,3,1.0,1937218.0,1.0,4.7,0,-4.0
6.4,3,1.0,1674008.0,1.0,4.7,0,-4.0
7.0,3,1.0,1585398.0,1.0,4.7,0,-4.0
7.7,3,1.0,2069660.0,1.0,4.7,0,-4.0
8.3,3,1.0,2601021.0,1.3,4.7,0,-3.0
8.7,4,1.0,2514871.0,1.3,4.7,0,-3.0
9.1,6,1.0,2502626.0,1.3,4.7,0,-3.0
10.1,4,1.0,2717865.0,1.3,4.7,0,-3.0
10.5,4,1.0,2717865.0,1.3,4.7,0,-3.0
10.8,4,1.0,2702172.0,1.3,4.7,0,-3.0
11.1,4,1.0,2647779.0,1.3,4.7,0,-3.0
11.4,4,1.0,2647779.0,1.3,4.7,0,-3.0
11.8,4,1.0,1948815.0,1.3,4.7,0,-3.0
12.2,9,1.0,1460994.0,1.6,4.7,0,-3.0
14.1,7,1.0,1214572.0,1.6,4.7,0,-3.0
15.3,8,2.0,1787503.0,1.6,4.7,0,-3.0
15.9,4,2.0,1928784.0,1.6,4.7,0,-3.0
16.3,7,1.0,2200380.0,1.9,4.7,0,-3.0
16.9,8,2.0,1993152.0,1.9,4.7,0,-3.0
17.6,8,1.0,1435961.0,1.9,4.7,0,-3.0
18.1,8,2.0,1988269.0,1.9,4.7,0,-3.0
19.4,8,2.0,1677336.0,6.9,9.0,0,-2.0
21.2,8,1.0,1999642.0,6.9,9.0,0,-2.0
23.3,8,1.0,1769496.0,7.6,13.3,0,-6.0
25.7,10,1.0,1708757.0,8.3,13.3,0,-5.0
30.0,11,2.0,1282257.0,13.3,17.6,0,-4.0
34.0,14,1.0,2000554.0,13.3,17.6,0,-4.0
35.3,11,1.0,2582389.0,14.0,21.9,0,-8.0
37.6,13,1.0,1408656.0,18.0,25.2,0,-7.0
40.9,12,1.0,1607171.0,18.0,25.2,0,-7.0
41.6,14,1.0,1867950.0,18.0,25.2,0,-7.0
41.7,14,2.0,2073277.0,18.0,25.2,0,-7.0
44.3,14,2.0,2036855.0,18.0,25.2,0,-7.0
44.5,14,1.0,2190715.0,22.0,25.2,0,-3.0
46.8,15,2.0,2076995.0,22.0,25.2,0,-3.0
46.8,19,1.0,1989656.0,22.3,28.9,0,-7.0
49.9,16,1.0,1986185.0,22.3,28.9,0,-7.0
51.1,19,2.0,1672592.0,23.5,29.8,0,-6.0
52.7,17,2.0,1564591.0,23.5,29.8,0,-6.0
56.5,17,1.0,2468637.0,27.5,32.6,0,-5.0
59.0,20,2.0,1099628.0,27.5,32.6,0,-5.0
60.4,20,1.0,2104047.0,31.5,32.6,0,-1.0
63.0,18,1.0,1782260.0,31.5,32.6,0,-1.0
64.0,21,2.0,1206746.0,35.5,32.6,0,3.0
65.6,22,1.0,1970856.0,35.5,32.6,0,3.0
66.2,19,2.0,1457255.0,35.5,32.6,0,3.0
67.4,19,1.0,1673431.0,39.5,32.6,0,7.0
70.4,24,2.0,1507155.0,39.5,32.6,0,7.0
70.9,24,2.0,1528789.0,39.5,32.6,0,7.0
71.1,24,1.0,1274469.0,39.5,32.6,0,7.0
71.4,24,2.0,1532896.0,39.5,32.6,0,7.0
71.7,20,1.0,1354624.0,39.5,32.6,0,7.0
72.0,20,2.0,1987944.0,41.0,35.1,0,6.0
74.7,25,2.0,1830310.0,41.0,35.1,0,6.0
75.7,25,1.0,1475722.0,41.0,35.1,0,6.0
75.8,26,2.0,1480442.0,42.5,35.1,0,7.0
77.1,23,1.0,1638249.0,42.5,35.1,0,7.0
78.5,23,2.0,938823.0,42.5,35.1,0,7.0
79.8,23,1.0,1920808.0,44.0,35.1,0,9.0
82.1,21,1.0,2308005.0,44.0,35.1,0,9.0
83.2,21,2.0,940300.0,44.0,35.1,0,9.0
84.3,22,1.0,2845299.0,48.0,37.6,0,10.0
85.0,22,1.0,2458554.0,48.0,37.6,0,10.0
85.3,22,1.0,2619248.0,48.0,37.6,0,10.0
86.0,22,1.0,2418891.0,48.0,37.6,0,10.0
86.7,27,1.0,2376301.0,48.0,37.6,0,10.0
88.2,27,1.0,1838827.0,48.7,40.9,0,8.0
88.7,23,2.0,1015309.0,48.7,40.9,0,8.0
90.1,24,1.0,1823790.0,48.7,40.9,0,8.0
90.1,23,2.0,1478845.0,49.4,40.9,0,8.0
93.1,27,2.0,1173601.0,49.4,40.9,0,8.0
93.1,27,1.0,1612315.0,53.4,40.9,0,12.0
97.5,28,1.0,1607853.0,53.4,40.9,0,12.0
99.0,30,2.0,497702.0,53.4,40.9,0,12.0
99.1,30,1.0,1717378.0,54.1,44.2,0,10.0
102.3,31,1.0,1612766.0,55.6,45.0,0,11.0
105.3,31,1.0,1781989.0,55.6,45.0,0,11.0
107.5,31,1.0,1965428.0,60.6,48.5,0,12.0
109.6,29,1.0,1979667.0,60.6,48.5,0,12.0
110.1,32,1.0,1941727.0,60.6,48.5,0,12.0
110.3,28,2.0,988927.0,60.6,48.5,0,12.0
112.4,28,1.0,1576029.0,61.3,52.8,0,8.0
112.9,29,2.0,1347067.0,61.3,52.8,0,8.0
114.1,29,1.0,1664843.0,61.3,52.8,0,8.0
114.8,36,2.0,990650.0,61.3,52.8,0,8.0
115.6,33,1.0,2019531.0,62.0,52.8,0,9.0
118.5,30,1.0,2577772.0,62.0,52.8,0,9.0
119.5,37,2.0,1113153.0,63.5,53.6,0,10.0
123.6,34,2.0,381374.0,63.5,53.6,0,10.0
123.8,33,1.0,2943166.0,64.7,56.4,0,8.0
125.4,34,1.0,2879507.0,64.7,56.4,0,8.0
127.0,34,1.0,2829282.0,64.7,56.4,0,8.0
128.6,34,1.0,2533339.0,65.9,56.4,0,10.0
130.4,38,1.0,2397164.0,65.9,56.4,0,10.0
130.9,35,1.0,2205061.0,67.1,56.4,0,11.0
133.6,39,1.0,1687149.0,67.1,56.4,0,11.0
134.1,36,1.0,1278195.0,67.1,56.4,0,11.0
135.7,36,2.0,969188.0,68.3,56.4,0,12.0
137.2,42,1.0,1626041.0,68.3,56.4,0,12.0
139.6,42,1.0,2323994.0,68.3,56.4,0,12.0
139.9,42,2.0,1164041.0,69.8,56.7,0,13.0
141.2,39,1.0,1692568.0,69.8,56.7,0,13.0
143.2,40,2.0,1222974.0,71.0,57.0,0,14.0
144.8,39,1.0,1992996.0,71.0,57.0,0,14.0
147.1,39,2.0,1357266.0,71.0,57.0,0,14.0
147.8,39,1.0,2739119.0,72.5,57.3,0,15.0
150.1,41,1.0,1627467.0,72.5,57.3,0,15.0
151.6,43,2.0,937955.0,72.5,57.3,0,15.0
152.3,43,1.0,1274562.0,72.5,57.3,0,15.0
152.6,41,2.0,1480294.0,72.8,58.5,0,14.0
153.0,42,1.0,1456650.0,72.8,58.5,0,14.0
155.1,42,2.0,1165091.0,75.8,61.2,0,15.0
159.0,43,1.0,1457521.0,77.3,62.7,0,15.0
162.5,45,2.0,992918.0,77.3,62.7,0,15.0
163.9,45,1.0,1342489.0,78.5,63.0,0,16.0
168.1,44,1.0,1118633.0,78.5,63.0,0,16.0
168.2,46,2.0,1051743.0,88.5,66.8,0,22.0
172.9,47,1.0,1212728.0,88.5,66.8,0,22.0
173.8,47,2.0,1078197.0,90.0,70.3,0,20.0
179.5,50,1.0,1056986.0,90.0,70.3,0,20.0
180.5,47,1.0,1154426.0,91.5,70.3,0,21.0
181.2,51,2.0,1535465.0,91.5,70.3,0,21.0
181.8,49,2.0,1041009.0,91.5,70.3,0,21.0
183.0,48,1.0,1277788.0,93.0,70.3,0,23.0
186.3,50,1.0,1395182.0,94.2,70.6,0,24.0
190.3,51,2.0,1215083.0,95.4,70.6,0,25.0
192.9,53,1.0,978672.0,99.4,73.4,0,26.0
197.5,52,1.0,841873.0,99.4,73.4,0,26.0
