time,playID,playQuality,buffer_size
1.2,0,1,0
5.25,-1.0,-1.0,0
5.3,-1.0,-1.0,0
5.35,-1.0,-1.0,0
5.4,-1.0,-1.0,0
5.45,-1.0,-1.0,0
5.5,-1.0,-1.0,0
5.55,-1.0,-1.0,0
5.6,-1.0,-1.0,0
5.65,-1.0,-1.0,0
5.7,-1.0,-1.0,0
5.75,-1.0,-1.0,0
5.8,-1.0,-1.0,0
5.85,-1.0,-1.0,0
5.9,-1.0,-1.0,0
5.95,-1.0,-1.0,0
6.0,-1.0,-1.0,0
6.05,-1.0,-1.0,0
6.1,-1.0,-1.0,0
6.15,-1.0,-1.0,0
6.2,-1.0,-1.0,0
6.25,-1.0,-1.0,0
6.3,-1.0,-1.0,0
6.35,-1.0,-1.0,0
6.4,-1.0,-1.0,0
6.45,-1.0,-1.0,0
6.5,-1.0,-1.0,0
6.55,-1.0,-1.0,0
6.6,-1.0,-1.0,0
6.65,-1.0,-1.0,0
6.7,-1.0,-1.0,0
6.75,-1.0,-1.0,0
6.8,-1.0,-1.0,0
6.85,-1.0,-1.0,0
6.9,-1.0,-1.0,0
6.95,-1.0,-1.0,0
7.0,-1.0,-1.0,0
7.05,-1.0,-1.0,0
7.1,-1.0,-1.0,0
7.15,-1.0,-1.0,0
7.2,-1.0,-1.0,0
7.25,-1.0,-1.0,0
7.3,-1.0,-1.0,0
7.35,-1.0,-1.0,0
7.4,-1.0,-1.0,0
7.45,-1.0,-1.0,0
7.5,-1.0,-1.0,0
7.55,-1.0,-1.0,0
7.6,-1.0,-1.0,0
7.65,-1.0,-1.0,0
7.7,-1.0,-1.0,0
7.75,-1.0,-1.0,0
7.8,-1.0,-1.0,0
7.85,-1.0,-1.0,0
7.9,-1.0,-1.0,0
7.95,-1.0,-1.0,0
8.0,-1.0,-1.0,0
8.05,-1.0,-1.0,0
8.1,-1.0,-1.0,0
8.15,-1.0,-1.0,0
8.2,-1.0,-1.0,0
8.25,-1.0,-1.0,0
8.3,-1.0,-1.0,0
8.35,-1.0,-1.0,0
8.4,-1.0,-1.0,0
8.45,-1.0,-1.0,0
8.5,-1.0,-1.0,0
8.55,-1.0,-1.0,0
8.6,-1.0,-1.0,0
8.65,-1.0,-1.0,0
8.7,-1.0,-1.0,0
8.75,-1.0,-1.0,0
8.8,-1.0,-1.0,0
8.85,-1.0,-1.0,0
8.9,-1.0,-1.0,0
8.95,-1.0,-1.0,0
9.0,-1.0,-1.0,0
9.05,-1.0,-1.0,0
9.1,-1.0,-1.0,0
9.15,-1.0,-1.0,0
9.2,-1.0,-1.0,0
9.25,-1.0,-1.0,0
9.3,-1.0,-1.0,0
9.35,-1.0,-1.0,0
9.4,-1.0,-1.0,0
9.45,-1.0,-1.0,0
9.5,-1.0,-1.0,0
9.55,-1.0,-1.0,0
9.6,-1.0,-1.0,0
9.65,-1.0,-1.0,0
9.7,1,0,4
13.7,2,0,12
17.7,3,1,8
21.7,4,1,8
25.7,5,4,4
29.7,6,4,4
33.7,7,4,8
37.7,8,4,8
41.7,9,4,12
45.7,10,4,8
49.7,11,3,12
53.7,-1.0,-1.0,0
53.75,-1.0,-1.0,0
53.8,-1.0,-1.0,0
53.85,-1.0,-1.0,0
53.9,-1.0,-1.0,0
53.95,-1.0,-1.0,0
54.0,-1.0,-1.0,0
54.05,-1.0,-1.0,0
54.1,-1.0,-1.0,0
54.15,-1.0,-1.0,0
54.2,-1.0,-1.0,0
54.25,-1.0,-1.0,0
54.3,-1.0,-1.0,0
54.35,-1.0,-1.0,0
54.4,-1.0,-1.0,0
54.45,-1.0,-1.0,0
54.5,-1.0,-1.0,0
54.55,-1.0,-1.0,0
54.6,-1.0,-1.0,0
54.65,-1.0,-1.0,0
54.7,-1.0,-1.0,0
54.75,-1.0,-1.0,0
54.8,-1.0,-1.0,0
54.85,-1.0,-1.0,0
54.9,-1.0,-1.0,0
54.95,-1.0,-1.0,0
55.0,-1.0,-1.0,0
55.05,-1.0,-1.0,0
55.1,-1.0,-1.0,0
55.15,-1.0,-1.0,0
55.2,-1.0,-1.0,0
55.25,-1.0,-1.0,0
55.3,-1.0,-1.0,0
55.35,-1.0,-1.0,0
55.4,-1.0,-1.0,0
55.45,-1.0,-1.0,0
55.5,-1.0,-1.0,0
55.55,-1.0,-1.0,0
55.6,-1.0,-1.0,0
55.65,-1.0,-1.0,0
55.7,-1.0,-1.0,0
55.75,-1.0,-1.0,0
55.8,-1.0,-1.0,0
55.85,-1.0,-1.0,0
55.9,-1.0,-1.0,0
55.95,-1.0,-1.0,0
56.0,-1.0,-1.0,0
56.05,-1.0,-1.0,0
56.1,-1.0,-1.0,0
56.15,-1.0,-1.0,0
56.2,-1.0,-1.0,0
56.25,-1.0,-1.0,0
56.3,-1.0,-1.0,0
56.35,-1.0,-1.0,0
56.4,-1.0,-1.0,0
56.45,-1.0,-1.0,0
56.5,-1.0,-1.0,0
56.55,-1.0,-1.0,0
56.6,-1.0,-1.0,0
56.65,-1.0,-1.0,0
56.7,-1.0,-1.0,0
56.7,12,1,16
60.7,13,3,12
64.7,14,0,20
68.7,15,1,20
72.7,16,0,20
76.7,17,6,20
80.7,18,0,20
84.7,19,3,20
88.7,20,5,20
92.7,21,0,20
96.7,22,5,16
100.7,23,3,12
104.7,24,3,12
108.7,25,1,12
112.7,26,1,12
116.7,27,3,8
120.7,28,0,12
124.7,29,3,8
128.7,30,1,12
132.7,31,1,12
136.7,32,4,16
140.75,-1.0,-1.0,0
140.8,-1.0,-1.0,0
140.85,-1.0,-1.0,0
140.9,-1.0,-1.0,0
140.95,-1.0,-1.0,0
141.0,-1.0,-1.0,0
141.05,-1.0,-1.0,0
141.1,-1.0,-1.0,0
141.15,-1.0,-1.0,0
