time,playID,playQuality,buffer_size
0.5,0,1,0
4.5,1,0,8
8.5,2,2,8
12.5,3,2,8
16.5,4,0,8
20.5,5,3,4
24.5,6,3,0
28.5,7,2,4
32.5,8,2,4
36.5,9,0,8
40.5,10,3,4
44.5,11,1,12
48.5,12,1,20
52.5,13,1,16
56.5,14,1,12
60.5,15,2,8
64.5,16,3,8
68.5,17,3,4
72.5,18,0,8
76.5,19,5,12
80.5,20,3,12
84.5,21,1,8
88.5,22,5,12
92.5,23,5,8
96.5,24,5,8
100.5,25,5,8
104.5,26,5,8
108.5,27,5,4
112.5,28,3,8
116.5,29,3,8
120.5,30,2,4
124.5,31,5,4
128.5,32,5,4
132.5,33,5,8
136.5,34,3,12
140.5,35,3,16
144.5,36,1,16
148.5,37,3,12
152.5,38,3,16
156.5,39,5,12
160.5,40,5,8
164.5,41,2,8
168.5,42,3,4
172.5,43,5,8
176.5,44,3,20
180.5,45,3,16
184.5,46,1,16
188.5,47,3,12
192.5,48,3,8
196.5,49,3,8
200.5,50,1,12
204.5,51,4,8
208.5,52,3,8
212.5,53,4,4
216.5,54,0,12
220.5,55,4,12
224.5,56,2,8
228.5,57,0,4
232.5,58,0,0
236.5,59,1,0
