time,playID,playQuality,buffer_size
0.6,0,1,0
4.6,1,1,4
8.6,2,1,8
12.6,3,0,12
16.6,4,2,12
20.6,5,1,12
24.6,6,2,16
28.6,7,0,16
32.6,8,3,16
36.6,9,3,16
40.6,10,1,20
44.6,11,2,16
48.6,12,3,12
52.6,13,4,16
56.6,14,4,16
60.6,15,4,12
64.6,16,4,16
68.6,17,5,16
72.6,18,4,16
76.6,19,4,16
80.6,20,5,16
84.6,21,5,12
88.6,22,5,12
92.6,23,5,12
96.6,24,5,8
100.6,25,4,4
104.6,26,0,12
108.6,27,2,8
112.6,28,5,8
116.6,29,5,8
120.6,30,2,8
124.6,31,2,8
128.6,32,2,8
132.6,33,2,8
136.6,34,3,20
140.6,35,4,16
144.6,36,4,20
148.6,37,4,20
152.6,38,5,20
156.6,39,5,16
160.6,40,5,12
164.6,41,5,12
168.6,42,3,16
172.6,43,2,12
176.6,44,5,12
180.6,45,4,12
184.6,46,5,12
188.6,47,4,12
192.6,48,4,8
196.6,49,4,8
200.6,50,4,8
204.6,51,4,12
208.6,52,3,8
212.6,53,4,16
216.6,54,4,20
220.6,55,0,16
224.6,56,3,12
228.6,57,5,8
232.6,58,1,4
236.6,59,1,0
