time,playID,playQuality,buffer_size
0.7,0,1,0
4.7,1,1,8
8.7,2,0,12
12.7,3,0,8
16.7,4,0,8
20.7,5,3,12
24.7,6,0,8
28.7,7,3,8
32.7,8,1,4
36.7,9,2,0
40.73,-1.0,-1.0,0
40.78,-1.0,-1.0,0
40.8,10,1,8
44.8,11,0,4
48.8,12,0,4
52.83,-1.0,-1.0,0
52.88,-1.0,-1.0,0
52.93,-1.0,-1.0,0
52.98,-1.0,-1.0,0
53.03,-1.0,-1.0,0
53.08,-1.0,-1.0,0
53.13,-1.0,-1.0,0
53.18,-1.0,-1.0,0
53.23,-1.0,-1.0,0
53.28,-1.0,-1.0,0
53.33,-1.0,-1.0,0
53.38,-1.0,-1.0,0
53.43,-1.0,-1.0,0
53.48,-1.0,-1.0,0
53.53,-1.0,-1.0,0
53.58,-1.0,-1.0,0
53.63,-1.0,-1.0,0
53.68,-1.0,-1.0,0
53.73,-1.0,-1.0,0
53.78,-1.0,-1.0,0
53.83,-1.0,-1.0,0
53.88,-1.0,-1.0,0
53.93,-1.0,-1.0,0
53.98,-1.0,-1.0,0
54.03,-1.0,-1.0,0
54.08,-1.0,-1.0,0
54.13,-1.0,-1.0,0
54.18,-1.0,-1.0,0
54.23,-1.0,-1.0,0
54.28,-1.0,-1.0,0
54.33,-1.0,-1.0,0
54.38,-1.0,-1.0,0
54.43,-1.0,-1.0,0
54.48,-1.0,-1.0,0
54.53,-1.0,-1.0,0
54.58,-1.0,-1.0,0
54.63,-1.0,-1.0,0
54.6,13,0,12
58.6,14,2,8
62.6,15,0,16
66.6,16,0,12
70.6,17,2,8
74.6,18,0,8
78.6,19,1,12
82.6,20,2,8
86.6,21,0,8
90.68,-1.0,-1.0,0
90.73,-1.0,-1.0,0
90.78,-1.0,-1.0,0
90.83,-1.0,-1.0,0
90.88,-1.0,-1.0,0
90.93,-1.0,-1.0,0
90.98,-1.0,-1.0,0
91.03,-1.0,-1.0,0
91.08,-1.0,-1.0,0
91.13,-1.0,-1.0,0
91.18,-1.0,-1.0,0
91.23,-1.0,-1.0,0
91.28,-1.0,-1.0,0
91.33,-1.0,-1.0,0
91.38,-1.0,-1.0,0
91.43,-1.0,-1.0,0
91.48,-1.0,-1.0,0
91.53,-1.0,-1.0,0
91.58,-1.0,-1.0,0
91.63,-1.0,-1.0,0
91.68,-1.0,-1.0,0
91.73,-1.0,-1.0,0
91.78,-1.0,-1.0,0
91.83,-1.0,-1.0,0
91.88,-1.0,-1.0,0
91.93,-1.0,-1.0,0
91.98,-1.0,-1.0,0
92.03,-1.0,-1.0,0
92.08,-1.0,-1.0,0
92.13,-1.0,-1.0,0
92.18,-1.0,-1.0,0
92.23,-1.0,-1.0,0
92.28,-1.0,-1.0,0
92.33,-1.0,-1.0,0
92.38,-1.0,-1.0,0
92.43,-1.0,-1.0,0
92.48,-1.0,-1.0,0
92.53,-1.0,-1.0,0
92.58,-1.0,-1.0,0
92.63,-1.0,-1.0,0
92.68,-1.0,-1.0,0
92.73,-1.0,-1.0,0
92.78,-1.0,-1.0,0
92.83,-1.0,-1.0,0
92.88,-1.0,-1.0,0
92.93,-1.0,-1.0,0
92.98,-1.0,-1.0,0
93.03,-1.0,-1.0,0
93.08,-1.0,-1.0,0
93.13,-1.0,-1.0,0
93.18,-1.0,-1.0,0
93.23,-1.0,-1.0,0
93.28,-1.0,-1.0,0
93.33,-1.0,-1.0,0
93.38,-1.0,-1.0,0
93.43,-1.0,-1.0,0
93.48,-1.0,-1.0,0
93.53,-1.0,-1.0,0
93.58,-1.0,-1.0,0
93.63,-1.0,-1.0,0
93.68,-1.0,-1.0,0
93.73,-1.0,-1.0,0
93.78,-1.0,-1.0,0
93.83,-1.0,-1.0,0
93.88,-1.0,-1.0,0
93.93,-1.0,-1.0,0
93.98,-1.0,-1.0,0
94.03,-1.0,-1.0,0
94.08,-1.0,-1.0,0
94.13,-1.0,-1.0,0
94.18,-1.0,-1.0,0
94.23,-1.0,-1.0,0
94.28,-1.0,-1.0,0
94.33,-1.0,-1.0,0
94.38,-1.0,-1.0,0
94.43,-1.0,-1.0,0
94.48,-1.0,-1.0,0
94.53,-1.0,-1.0,0
94.58,-1.0,-1.0,0
94.63,-1.0,-1.0,0
94.68,-1.0,-1.0,0
94.73,-1.0,-1.0,0
94.78,-1.0,-1.0,0
94.83,-1.0,-1.0,0
94.88,-1.0,-1.0,0
94.93,-1.0,-1.0,0
94.98,-1.0,-1.0,0
95.03,-1.0,-1.0,0
95.08,-1.0,-1.0,0
95.13,-1.0,-1.0,0
95.18,-1.0,-1.0,0
95.23,-1.0,-1.0,0
95.28,-1.0,-1.0,0
95.33,-1.0,-1.0,0
95.38,-1.0,-1.0,0
95.43,-1.0,-1.0,0
95.48,-1.0,-1.0,0
95.53,-1.0,-1.0,0
95.58,-1.0,-1.0,0
95.63,-1.0,-1.0,0
95.68,-1.0,-1.0,0
95.73,-1.0,-1.0,0
95.78,-1.0,-1.0,0
95.83,-1.0,-1.0,0
95.88,-1.0,-1.0,0
95.93,-1.0,-1.0,0
95.98,-1.0,-1.0,0
96.03,-1.0,-1.0,0
96.08,-1.0,-1.0,0
96.13,-1.0,-1.0,0
96.18,-1.0,-1.0,0
96.23,-1.0,-1.0,0
96.28,-1.0,-1.0,0
96.33,-1.0,-1.0,0
96.38,-1.0,-1.0,0
96.43,-1.0,-1.0,0
96.48,-1.0,-1.0,0
96.53,-1.0,-1.0,0
96.58,-1.0,-1.0,0
96.63,-1.0,-1.0,0
96.68,-1.0,-1.0,0
96.73,-1.0,-1.0,0
96.78,-1.0,-1.0,0
96.83,-1.0,-1.0,0
96.88,-1.0,-1.0,0
