time,playID,playQuality,buffer_size
0.4,0,1,0
4.4,1,1,12
8.4,2,2,8
12.4,3,2,12
16.4,4,1,8
20.4,5,2,12
24.4,6,2,8
28.4,7,2,4
32.4,8,2,4
36.4,9,1,4
40.4,10,1,0
44.44,-1.0,-1.0,0
44.49,-1.0,-1.0,0
44.5,11,1,4
48.5,12,2,4
52.5,13,4,4
56.5,14,3,4
60.5,15,4,0
64.5,16,4,4
68.5,17,1,4
72.5,18,5,4
76.5,19,0,4
80.5,20,0,8
84.5,21,1,8
88.5,22,5,8
92.5,23,1,16
96.5,24,1,12
100.5,25,4,16
104.5,26,1,12
108.5,27,1,12
112.5,28,4,12
116.5,29,2,12
120.5,30,2,12
124.5,31,1,8
128.5,32,2,8
132.5,33,2,8
136.5,34,0,12
140.5,35,0,12
144.5,36,0,12
148.5,37,1,12
152.5,38,1,12
156.5,39,0,12
160.5,40,0,16
164.5,41,0,20
168.5,42,1,20
172.5,43,1,16
176.5,44,2,16
180.5,45,0,12
184.5,46,0,16
188.5,47,0,12
192.5,48,0,16
196.5,49,0,16
200.5,50,1,12
204.5,51,2,16
208.5,52,2,12
212.5,53,2,12
216.5,54,2,12
220.5,55,1,8
224.5,56,0,8
228.5,57,0,8
232.5,58,0,4
236.5,59,0,0
