time,playID,playQuality,buffer_size,QUALITY
0.9,0,1,0,2
4.9,1,0,12,1
8.9,2,0,12,1
12.9,3,3,12,4
16.92,-1,-1,0,0
16.97,-1,-1,0,0
17.02,-1,-1,0,0
17.07,-1,-1,0,0
17.12,-1,-1,0,0
17.17,-1,-1,0,0
17.22,-1,-1,0,0
17.27,-1,-1,0,0
17.32,-1,-1,0,0
17.37,-1,-1,0,0
17.42,-1,-1,0,0
17.47,-1,-1,0,0
17.52,-1,-1,0,0
17.57,-1,-1,0,0
17.62,-1,-1,0,0
17.67,-1,-1,0,0
17.72,-1,-1,0,0
17.77,-1,-1,0,0
17.82,-1,-1,0,0
17.87,-1,-1,0,0
17.92,-1,-1,0,0
17.97,-1,-1,0,0
18.02,-1,-1,0,0
18.07,-1,-1,0,0
18.12,-1,-1,0,0
18.17,-1,-1,0,0
18.22,-1,-1,0,0
18.27,-1,-1,0,0
18.32,-1,-1,0,0
18.37,-1,-1,0,0
18.42,-1,-1,0,0
18.47,-1,-1,0,0
18.52,-1,-1,0,0
18.57,-1,-1,0,0
18.62,-1,-1,0,0
18.67,-1,-1,0,0
18.72,-1,-1,0,0
18.77,-1,-1,0,0
18.82,-1,-1,0,0
18.87,-1,-1,0,0
18.92,-1,-1,0,0
18.97,-1,-1,0,0
19.02,-1,-1,0,0
19.07,-1,-1,0,0
19.12,-1,-1,0,0
19.17,-1,-1,0,0
19.22,-1,-1,0,0
19.27,-1,-1,0,0
19.32,-1,-1,0,0
19.37,-1,-1,0,0
19.42,-1,-1,0,0
19.47,-1,-1,0,0
19.52,-1,-1,0,0
19.5,4,5,16,6
23.5,5,1,16,2
27.5,6,3,16,4
31.5,7,3,20,4
35.5,8,1,20,2
39.5,9,3,20,4
43.5,10,3,24,4
47.5,11,3,24,4
51.5,12,3,20,4
55.5,13,3,16,4
59.5,14,6,12,7
63.5,15,5,8,6
67.5,16,5,8,6
71.5,17,6,8,7
75.5,18,4,8,5
79.5,19,6,12,7
83.5,20,6,8,7
87.5,21,6,8,7
91.5,22,5,8,6
95.5,23,6,4,7
99.5,24,6,8,7
103.5,25,6,4,7
107.5,26,5,4,6
111.5,27,5,12,6
115.5,28,1,12,2
119.5,29,1,20,2
123.5,30,1,16,2
127.5,31,2,24,3
131.5,32,2,20,3
135.5,33,1,24,2
139.5,34,3,24,4
143.5,35,1,24,2
147.5,36,1,24,2
151.5,37,0,20,1
155.5,38,3,16,4
159.5,39,3,16,4
163.5,40,3,12,4
167.5,41,6,8,7
171.5,42,3,8,4
175.5,43,5,16,6
179.5,44,6,12,7
183.5,45,6,8,7
187.5,46,6,12,7
191.5,47,6,16,7
195.5,48,2,12,3
199.5,49,6,12,7
203.5,50,1,16,2
207.5,51,3,16,4
211.5,52,1,12,2
215.5,53,6,16,7
219.5,54,3,12,4
223.5,55,3,12,4
227.5,56,3,8,4
231.5,57,3,4,4
235.5,58,1,0,2
239.5,59,1,0,2
