time,down_id,path,thoughput,reward_quality,smooth_penalty,rebuf_penalty,sum_reward
0.0,0,2.0,1646911.0,0.7,4.3,0,-4.0
0.5,1,1.0,2003652.0,0.7,4.3,0,-4.0
0.7,2,2.0,2098337.0,0.7,4.3,0,-4.0
1.1,3,1.0,1692075.0,0.7,4.3,0,-4.0
2.0,4,2.0,2499195.0,0.7,4.3,0,-4.0
3.5,5,2.0,2284108.0,0.7,4.3,0,-4.0
3.9,6,1.0,1806256.0,1.0,4.3,0,-3.0
6.7,7,2.0,1901148.0,1.0,4.3,0,-3.0
7.1,8,1.0,2013418.0,1.7,4.7,0,-3.0
9.7,9,1.0,2475342.0,1.7,4.7,0,-3.0
9.8,10,2.0,1590551.0,2.9,5.2,0,-2.0
12.6,11,1.0,3072383.0,4.4,5.5,0,-1.0
16.5,12,1.0,2890923.0,8.4,8.0,0,0.0
20.5,13,1.0,2324982.0,9.9,10.5,0,-1.0
24.5,14,2.0,1256374.0,11.4,10.5,0,1.0
28.6,15,1.0,2150812.0,12.9,10.5,0,2.0
32.6,16,2.0,794321.0,14.4,10.5,0,4.0
36.6,17,1.0,2076239.0,15.9,10.5,0,5.0
40.5,18,2.0,575209.0,17.4,10.5,0,7.0
44.5,19,1.0,1419674.0,18.9,10.5,0,8.0
48.5,20,2.0,965718.0,20.4,10.5,0,10.0
52.5,21,1.0,1447816.0,25.4,14.0,0,11.0
56.5,22,1.0,1126102.0,29.4,15.0,0,14.0
60.5,23,1.0,1167376.0,30.6,17.8,0,13.0
64.5,24,1.0,1131672.0,32.1,18.1,0,14.0
68.5,25,2.0,996223.0,32.8,18.9,0,14.0
72.5,26,1.0,1264098.0,34.3,19.7,0,15.0
76.6,27,1.0,1256680.0,34.6,20.9,0,14.0
80.5,28,1.0,1485842.0,39.6,25.6,0,14.0
84.6,29,2.0,313813.0,41.1,29.1,0,12.0
88.6,30,1.0,836728.0,46.1,32.6,0,14.0
92.7,31,2.0,152594.0,47.6,36.1,0,12.0
96.5,32,1.0,1062314.0,48.3,36.9,0,11.0
100.5,33,1.0,1338180.0,49.8,37.7,0,12.0
104.5,34,2.0,1410200.0,51.3,37.7,0,14.0
108.5,35,2.0,639794.0,52.0,38.5,0,14.0
112.5,36,2.0,811831.0,52.7,38.5,0,14.0
116.5,37,1.0,3445570.0,53.9,39.0,0,15.0
120.5,38,1.0,2641281.0,54.2,39.9,0,14.0
124.5,39,2.0,550879.0,54.9,40.3,0,15.0
128.6,40,1.0,1964258.0,55.6,40.3,0,15.0
132.6,41,2.0,414810.0,55.9,40.7,0,15.0
136.5,42,1.0,1731678.0,56.2,40.7,0,16.0
140.5,43,2.0,319802.0,56.9,41.1,0,16.0
144.5,44,1.0,1153370.0,58.4,41.9,0,16.0
148.5,45,2.0,501664.0,59.9,41.9,0,18.0
152.5,46,2.0,605818.0,60.6,42.7,0,18.0
156.6,47,1.0,1867308.0,63.6,45.0,0,19.0
160.5,48,1.0,1346134.0,64.3,47.3,0,17.0
164.5,49,1.0,845622.0,67.3,49.6,0,18.0
168.6,50,2.0,1618349.0,67.6,52.3,0,15.0
172.5,51,1.0,1330665.0,69.1,53.5,0,16.0
176.5,52,1.0,1106430.0,69.4,54.7,0,15.0
180.6,53,2.0,1094728.0,69.7,54.7,0,15.0
184.6,54,1.0,1775182.0,71.2,55.9,0,15.0
188.5,55,1.0,810945.0,72.4,56.2,0,16.0
192.5,56,1.0,557726.0,73.9,56.5,0,17.0
196.6,57,2.0,1844780.0,74.2,57.7,0,16.0
200.6,58,1.0,314845.0,74.9,58.1,0,17.0
204.6,59,2.0,1077070.0,84.2,62.1,0,22.0
