time,playID,playQuality,buffer_size
1.5,0,1,0
5.5,1,0,12
9.5,2,0,20
13.5,3,1,28
17.5,4,0,28
21.5,5,1,28
25.5,6,1,28
29.5,7,1,28
33.5,8,1,24
37.5,9,1,28
41.5,10,1,24
45.5,11,1,28
49.5,12,1,28
53.5,13,3,28
57.5,14,3,28
61.5,15,6,24
65.5,16,1,24
69.5,17,4,28
73.5,18,3,28
77.5,19,3,28
81.5,20,3,28
85.5,21,6,28
89.5,22,6,28
93.5,23,6,28
97.5,24,6,28
101.5,25,3,28
105.5,26,6,24
109.5,27,6,20
113.5,28,3,28
117.5,29,3,28
121.5,30,3,28
125.5,31,3,28
129.5,32,3,28
133.5,33,3,24
137.5,34,1,24
141.5,35,1,28
145.5,36,1,28
149.5,37,2,24
153.5,38,0,28
157.5,39,1,28
161.5,40,3,28
165.5,41,1,28
169.5,42,3,24
173.5,43,3,24
177.5,44,3,28
181.5,45,0,28
185.5,46,1,28
189.5,47,3,28
193.5,48,3,28
197.5,49,4,28
201.5,50,3,28
205.5,51,3,28
209.5,52,1,28
213.5,53,0,24
217.5,54,3,20
221.5,55,3,16
225.5,56,1,12
229.5,57,3,8
233.5,58,1,4
237.5,59,1,0
